Rank,PlayerPlayerId,PlayerShortName,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,JukeRate,EvadedTackles,YardsCreated,YardsCreatedPerGame,YardsCreatedPerCarry,BreakawayRuns,BreakawayRunRate,FantasyPointsPerAttempt,FantasyPointsPerTarget,FantasyPointsPerOpportunity,Drops,DropRate
1,21682,J. Taylor,332,1811,5.45,18,53,40,360,2,44.35,165,1382,81.29,3.71,23,6.92,1.12,7.04,0.97,5,9.43
2,19562,A. Ekeler,206,911,4.42,12,94,70,647,8,25.36,70,940,58.75,3.4,9,4.36,1.67,3.66,1.15,3,3.19
3,21768,N. Harris,307,1200,3.9,7,94,74,467,3,27.82,106,1035,60.88,2.71,12,3.9,0.98,3.2,0.75,8,8.51
4,18858,J. Mixon,292,1205,4.12,13,48,42,314,3,22.75,76,770,48.12,2.3,13,4.45,0.99,6,0.85,2,4.16
5,18983,J. Conner,202,752,3.72,15,39,37,375,3,26.77,64,682,45.46,2.85,8,3.96,1.28,6.61,1.07,1,2.56
6,18803,L. Fournette,180,811,4.5,8,84,69,454,2,23.29,58,641,45.78,2.57,8,4.44,1.42,3.04,0.97,5,5.95
7,17923,E. Elliott,237,1002,4.22,10,65,47,287,2,26.05,74,647,38.05,2.27,6,2.53,1.06,3.88,0.83,3,4.61
8,18878,A. Kamara,240,898,3.74,4,67,47,439,5,20.2,58,788,60.61,2.74,7,2.91,0.98,3.5,0.76,8,11.94
9,15150,C. Patterson,153,618,4.03,6,68,52,548,5,17.07,35,653,40.81,3.18,4,2.61,1.53,3.45,1.06,0,0
10,21861,A. Gibson,258,1037,4.01,7,52,42,294,3,29,87,715,44.68,2.38,12,4.65,0.89,4.41,0.74,5,9.61
11,19045,A. Jones,171,799,4.67,4,65,52,391,6,27.35,61,746,49.73,3.34,8,4.67,1.34,3.52,0.97,4,6.15
12,20824,J. Jacobs,217,872,4.01,9,64,54,348,0,28.04,76,767,51.13,2.83,7,3.22,1.04,3.53,0.8,3,4.68
