Rank,PlayerPlayerId,PlayerShortName,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,JukeRate,EvadedTackles,YardsCreated,YardsCreatedPerGame,YardsCreatedPerCarry,BreakawayRuns,BreakawayRunRate,FantasyPointsPerAttempt,FantasyPointsPerTarget,FantasyPointsPerOpportunity,Drops,DropRate
13,19798,N. Chubb,228,1259,5.52,8,25,20,174,1,37.09,92,904,64.57,3.64,17,7.45,0.94,8.61,0.85,1,4
14,20790,D. Harris,202,929,4.59,15,20,18,132,0,27.72,61,438,29.2,1.99,14,6.93,1.04,10.5,0.95,1,5
15,21684,D. Swift,151,617,4.08,5,78,62,452,2,28.16,60,869,66.84,4.07,8,5.29,1.38,2.68,0.91,5,6.41
16,18872,D. Cook,249,1159,4.65,6,49,34,224,0,25.79,73,623,47.92,2.2,21,8.43,0.83,4.21,0.69,4,8.16
17,22558,J. Williams,203,903,4.44,4,53,43,316,3,32.92,81,841,49.47,3.41,8,3.94,1.01,3.87,0.8,3,5.66
18,20941,D. Singletary,188,870,4.62,7,50,40,228,1,29.38,67,633,37.23,2.77,14,7.44,1.05,3.96,0.83,4,8
19,20500,D. Williams,144,558,3.87,6,57,47,452,2,16.23,31,607,35.7,3.17,3,2.08,1.36,3.44,0.98,1,1.75
20,20882,D. Montgomery,225,849,3.77,7,51,42,301,0,23.97,64,556,42.76,2.08,7,3.11,0.87,3.84,0.71,2,3.92
21,16776,M. Gordon III,203,919,4.52,8,39,28,213,2,32.9,76,606,37.87,2.62,7,3.44,0.96,5.01,0.81,3,7.69
22,17959,D. Henry,219,937,4.27,10,20,18,154,0,38.81,92,583,72.87,2.45,9,4.1,0.88,9.66,0.81,0,0
23,21802,A. Dillon,187,803,4.29,5,37,34,313,2,25.33,56,640,37.64,2.89,5,2.67,0.99,5.02,0.83,2,5.4
24,21970,J. Robinson,164,767,4.67,8,46,31,222,0,30.76,60,508,36.28,2.6,8,4.87,1.06,3.78,0.83,3,6.52
25,20768,M. Gaskin,173,612,3.53,3,63,49,234,4,14.41,32,441,25.94,1.98,9,5.2,1,2.76,0.74,5,7.93
26,22535,E. Mitchell,207,963,4.65,5,20,19,137,1,21.68,49,537,48.81,2.37,8,3.86,0.8,8.25,0.73,0,0
27,20798,D. Henderson Jr.,149,688,4.61,5,40,29,176,3,15.16,27,407,33.91,2.28,9,6.04,1.1,4.08,0.86,2,5
28,20912,T. Pollard,130,719,5.53,2,46,39,337,0,34.91,59,589,39.26,3.48,11,8.46,1.25,3.53,0.92,3,6.52
29,22553,M. Carter,147,639,4.34,4,55,36,325,0,30.05,55,599,42.78,3.27,5,3.4,1.05,2.81,0.76,3,5.45
30,19766,S. Barkley,162,593,3.66,2,57,41,263,2,28.07,57,569,43.76,2.8,5,3.08,0.92,2.61,0.68,3,5.26
31,16524,D. Freeman,133,576,4.33,5,42,34,190,1,20.35,34,330,20.62,1.97,8,6.01,1.1,3.49,0.84,2,4.76
32,19828,S. Michel,208,845,4.06,4,33,21,128,1,20.96,48,413,24.29,1.8,8,3.84,0.7,4.43,0.61,3,9.09
33,17970,D. Booker,145,593,4.08,2,45,40,268,1,25.94,48,447,27.93,2.41,6,4.13,0.99,3.2,0.76,3,6.66
34,19919,C. Edmonds,116,592,5.1,2,53,43,311,0,29.55,47,448,37.33,2.81,7,6.03,1.24,2.7,0.85,2,3.77
35,16887,M. Davis,138,503,3.64,3,58,44,259,1,28.02,51,479,28.17,2.63,3,2.17,1,2.38,0.71,3,5.17
36,21691,C. Hubbard,172,612,3.55,5,36,25,174,1,18.27,36,415,24.41,2.1,8,4.65,0.8,3.82,0.66,7,19.44
37,18464,J. McKissic,48,212,4.41,2,53,43,397,2,14.28,13,405,36.81,4.45,1,2.08,2.66,2.41,1.27,1,1.88
38,18877,C. McCaffrey,99,442,4.46,1,41,37,343,1,34.55,47,504,72,3.7,9,9.09,1.29,3.11,0.91,1,2.43
39,20868,A. Mattison,134,491,3.66,3,39,32,228,1,19.87,33,413,25.81,2.48,4,2.98,0.94,3.23,0.73,1,2.56
40,13741,B. Bolden,44,226,5.13,1,49,41,405,2,27.05,23,544,32,6.4,6,13.63,2.82,2.53,1.33,2,4.08
41,22562,K. Gainwell,68,291,4.27,5,50,33,253,1,23.76,24,340,21.25,3.36,2,2.94,1.81,2.47,1.05,7,14
42,19799,R. Penny,119,749,6.29,6,8,6,48,0,25.6,32,479,47.9,3.83,15,12.6,1.02,15.21,0.96,0,0
43,18995,J. Williams,153,601,3.92,3,28,26,157,0,13.4,24,335,25.76,1.87,2,1.3,0.78,4.28,0.66,1,3.57
44,21769,C. Edwards-Helaire,119,517,4.34,4,23,19,129,2,21.01,29,342,34.2,2.47,3,2.52,0.99,5.11,0.83,0,0
45,20933,M. Sanders,137,754,5.5,0,34,26,158,0,19.63,32,484,40.33,2.96,11,8.02,0.86,3.45,0.69,2,5.88
46,20837,T. Johnson,61,238,3.9,2,55,34,372,2,16.84,16,366,22.87,3.85,3,4.91,1.92,2.13,1.01,10,18.18
47,22546,R. Stevenson,133,605,4.54,5,18,14,123,0,35.37,52,454,37.83,3.08,6,4.51,0.86,6.38,0.76,1,5.55
48,19912,N. Hines,56,276,4.92,2,57,40,310,1,34.37,33,318,18.7,3.31,3,5.35,2.01,1.98,1,4,7.01
49,13337,M. Ingram II,160,554,3.46,2,35,27,162,0,27.8,52,323,23.07,1.72,3,1.87,0.68,3.1,0.56,0,0
50,14917,R. Burkhead,122,427,3.5,3,32,25,186,0,19.04,28,305,19.06,2.07,3,2.45,0.85,3.26,0.68,3,9.37
51,15071,L. Murray,119,501,4.21,6,13,10,75,0,12.4,16,226,16.14,1.75,4,3.36,0.87,7.97,0.78,3,23.07
52,18957,D. Foreman,133,566,4.25,3,11,9,123,0,16.19,23,308,34.22,2.16,5,3.75,0.71,8.54,0.65,1,9.09
53,16815,A. Abdullah,51,166,3.25,0,53,38,289,1,13.48,12,326,19.17,3.66,2,3.92,1.75,1.69,0.86,4,7.54
54,16847,D. Johnson,67,228,3.4,0,42,32,225,1,37.37,37,269,20.69,2.71,1,1.49,1.21,1.94,0.75,1,2.38
55,18088,A. Collins,108,411,3.8,2,10,9,87,0,22.22,26,225,20.45,1.92,3,2.77,0.64,6.88,0.58,0,0
