Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
98,23151,Drake London,ATL,WR,17,0,0,0,4.2,0,68.8,907,5,0,0,0,0,11.1,187.92
99,21769,Clyde Edwards-Helaire,KC,RB,17,0,0,0,830,5.7,36.8,270.9,1.6,0,0,0,0,11,187.69
100,21861,Antonio Gibson,WAS,RB,17,0,0,0,859.4,6.6,32.9,241.8,1.4,0,0,0,0,11,186.82
101,20912,Tony Pollard,DAL,RB,17,0,0,0,762.4,3.6,46.2,358.7,1.4,0,0,0,0,10.9,185.51
102,14871,Robert Woods,TEN,WR,17,0,0,0,76.5,0.7,69.5,813.3,3.9,0,0,0,0,10.9,184.68
103,21687,DeVonta Smith,PHI,WR,17,0,0,0,1,0,63.6,885.6,5.6,0,0,0,0,10.9,184.66
104,19920,Dalton Schultz,DAL,TE,17,0,0,0,0,0,73.6,736.4,6.4,0,0,0,0,10.9,184.64
105,19063,George Kittle,SF,TE,17,0,0,0,2.2,0,67.9,871.4,4.6,0,0,0,0,10.7,181.66
106,20933,Miles Sanders,PHI,RB,17,0,0,0,950.9,4.6,30.8,224,1.3,0,0,0,0,10.6,180.29
107,15150,Cordarrelle Patterson,ATL,RB,17,0,0,0,548,4,45.8,418.9,2.7,0,0,0,0,10.6,180.09
108,20941,Devin Singletary,BUF,RB,17,0,0,0,858,6.1,31.7,214.5,1.2,0,0,0,0,10.6,179.95
109,22546,Rhamondre Stevenson,NE,RB,17,0,0,0,775.2,6.5,33.5,256.6,1,0,0,0,0,10.5,178.88
110,20790,Damien Harris,NE,RB,17,0,0,0,888.3,8.9,19.4,146.6,0.8,0,0,0,0,10.5,178.09
111,21747,Brandon Aiyuk,SF,WR,17,0,0,0,19.1,0,61.6,868.4,4.6,0,0,0,0,10.4,176.75
112,18944,Kareem Hunt,CLE,RB,17,0,0,0,611.1,4.7,44.8,354.3,1.5,0,0,0,0,10.4,176.14
113,20145,Allen Lazard,GB,WR,17,0,0,0,21.6,0,60.4,783.6,6,0,0,0,0,10.3,175.72
114,22614,Kadarius Toney,NYG,WR,17,0,0,0,64,0.3,68.3,793.7,3.2,0,0,0,0,10.2,173.67
115,19863,Dallas Goedert,PHI,TE,17,0,0,0,0,0,62.8,794,5.4,0,0,0,0,10.2,173.4
116,20876,Jakobi Meyers,NE,WR,17,0,0,0,4,0,73.4,794.4,3.5,0,0,0,0,10.2,173.04
117,21752,Chase Claypool,PIT,WR,17,0,0,0,74.9,0.3,59.2,820.3,3.4,0,0,0,0,10,169.72
118,21120,Cole Holcomb,WAS,LB,17,0,0,0,0,0,0,0,0,1.6,1.7,1.2,0.6,9.9,168.87
119,16809,Denzel Perryman,LV,LB,17,0,0,0,0,0,0,0,0,0.7,0.4,1,0.5,9.9,168.69
120,14895,Geno Smith,SEA,QB,17,2713.2,16.1,10.5,135.3,1.3,0,0,0,0,0,0,0,9.9,168.06
121,20805,T.J. Hockenson,DET,TE,17,0,0,0,0,0,67.8,690.1,5.4,0,0,0,0,9.9,168.01
122,16806,Eric Kendricks,MIN,LB,17,0,0,0,0,0,0,0,0,1.6,2.1,1.1,0.5,9.9,167.52
123,19799,Rashaad Penny,SEA,RB,17,0,0,0,923.2,5.9,21.6,161.5,0.8,0,0,0,0,9.8,167.27
124,20006,Russell Gage,TB,WR,17,0,0,0,1,0,63.8,738.9,5.1,0,0,0,0,9.8,166.39
125,14986,DeAndre Hopkins,ARI,WR,17,0,0,0,0.5,0,59.4,733.5,5.6,0,0,0,0,9.7,165
126,17986,Tyler Boyd,CIN,WR,17,0,0,0,16.7,0,65.6,743.9,3.9,0,0,0,0,9.7,164.06
127,22005,Jordyn Brooks,SEA,LB,17,0,0,0,0,0,0,0,0,0.7,0.3,1.1,0.5,9.5,162.19
128,22565,Chris Olave,NO,WR,17,0,0,0,2.7,0,54.3,790.7,5,0,0,0,0,9.5,162.04
129,18811,Mitch Trubisky,PIT,QB,17,2505.5,15.3,10,143.8,1.3,0,0,0,0,0,0,0,9.4,160.2
130,23153,George Pickens,PIT,WR,17,0,0,0,2.3,0,59.4,763.6,4.3,0,0,0,0,9.4,159.99
131,16775,DeVante Parker,NE,WR,17,0,0,0,0,0,56,758.3,4.7,0,0,0,0,9.4,159.03
132,14856,Zach Ertz,ARI,TE,17,0,0,0,0,0,64.1,663.6,4.9,0,0,0,0,9.3,158.86
133,13870,Marvin Jones Jr.,JAX,WR,17,0,0,0,0,0,58,699.7,5.2,0,0,0,0,9.3,157.97
134,23119,Treylon Burks,TEN,WR,17,0,0,0,21.8,0.1,56.3,760.4,4.1,0,0,0,0,9.3,157.72
135,16776,Melvin Gordon III,DEN,RB,17,0,0,0,706,6,26.4,196.7,1.4,0,0,0,0,9.3,157.27
136,19867,Michael Gallup,DAL,WR,17,0,0,0,4.4,0,54,742.4,4.9,0,0,0,0,9.2,157.08
137,19976,Marquez Valdes-Scantling,KC,WR,17,0,0,0,5.6,0,48.6,809.6,4.5,0,0,0,0,9.2,156.92
138,18037,De'Vondre Campbell,GB,LB,17,0,0,0,0,0,0,0,0,1.1,1,1,0.5,9.2,155.87
139,20850,Dawson Knox,BUF,TE,17,0,0,0,0,0,51.7,619.3,7.1,0,0,0,0,9.2,155.63
140,23155,Jahan Dotson,WAS,WR,17,0,0,0,3.3,0,58.7,740.4,4,0,0,0,0,9.1,155.07
141,19852,Shaquille Leonard,IND,LB,17,0,0,0,0,0,0,0,0,1.3,1.6,1.4,0.7,9.1,154.71
142,22507,Pat Freiermuth,PIT,TE,17,0,0,0,0,0,62.8,585,5.7,0,0,0,0,9.1,154.7
143,19827,Roquan Smith,CHI,ILB,17,0,0,0,0,0,0,0,0,2,1.7,1.2,0.6,9.1,154.55
144,18977,Kenny Golladay,NYG,WR,17,0,0,0,0,0,53.3,783.6,3.9,0,0,0,0,9.1,153.86
145,18018,Jacoby Brissett,CLE,QB,17,2356.5,13.3,7.4,163.3,1.7,0,0,0,0,0,0,0,9,153.39
146,23122,Garrett Wilson,NYJ,WR,17,0,0,0,9.5,0,56.5,767.8,3.5,0,0,0,0,9,153.23
147,21772,Cole Kmet,CHI,TE,17,0,0,0,0,0,62.8,654.2,4.1,0,0,0,0,8.9,151.82
148,20981,Devin White,TB,ILB,17,0,0,0,0,0,0,0,0,3.5,0.2,1.2,0.6,8.9,150.85
149,21756,Nico Collins,HOU,WR,17,0,0,0,0,0,55.5,735.2,3.7,0,0,0,0,8.8,150.02
150,14534,Bobby Wagner,LAR,ILB,17,0,0,0,0,0,0,0,0,1,0.5,1.1,0.6,8.8,149.8
151,19816,DJ Chark,DET,WR,17,0,0,0,2.1,0,50.5,704.7,4.8,0,0,0,0,8.8,149.58
152,16020,Jarvis Landry,NO,WR,17,0,0,0,17.5,0.2,58.8,703.4,3.1,0,0,0,0,8.8,149.29
153,22553,Michael Carter,NYJ,RB,17,0,0,0,624,3.6,34.3,277.3,1,0,0,0,0,8.8,149.23
154,21970,James Robinson,JAX,RB,17,0,0,0,680.1,5.1,27,197.9,0.9,0,0,0,0,8.7,148
155,22626,Rondale Moore,ARI,WR,17,0,0,0,97.8,0.6,61.3,587,2.6,0,0,0,0,8.7,147.58
156,23168,Skyy Moore,KC,WR,17,0,0,0,10.1,0,51.9,679.3,4.7,0,0,0,0,8.7,147.24
157,16618,Aaron Donald,LAR,DT,17,0,0,0,0,0,0,0,0,7.7,0.3,1.1,0.5,8.6,146.84
158,19912,Nyheim Hines,IND,RB,17,0,0,0,339.7,2.1,51.8,406.6,1.8,0,0,0,0,8.6,145.83
159,18187,Robbie Anderson,CAR,WR,17,0,0,0,23.7,0.1,53.8,660.2,4,0,0,0,0,8.6,145.59
160,18807,Myles Garrett,CLE,DE,17,0,0,0,0,0,0,0,0,9.4,0.6,1,0.5,8.5,144.58
161,19853,Mike Gesicki,MIA,TE,17,0,0,0,0,0,57,656.2,3.8,0,0,0,0,8.5,144.22
162,21714,K.J. Osborn,MIN,WR,17,0,0,0,4.3,0,50.4,656.2,4.7,0,0,0,0,8.4,143.65
163,20788,Mecole Hardman,KC,WR,17,0,0,0,66.5,0.6,52.3,646.7,3,0,0,0,0,8.4,143.42
164,18981,Trey Hendrickson,CIN,DE,17,0,0,0,0,0,0,0,0,10.6,0.5,0.9,0.4,8.4,142.92
165,20085,Dennis Gardeck,ARI,OLB,17,0,0,0,0,0,0,0,0,8.4,1,0.7,0.3,8.4,142.88
166,18923,Jamal Adams,SEA,SS,17,0,0,0,0,0,0,0,0,3.3,1.4,1.2,0.6,8.3,141.76
167,19049,Anthony Walker Jr.,CLE,LB,17,0,0,0,0,0,0,0,0,0.5,0.7,1,0.5,8.3,141.75
168,20798,Darrell Henderson Jr.,LAR,RB,17,0,0,0,609.9,4.5,28.6,206.4,1.1,0,0,0,0,8.3,141.43
169,17975,Hunter Henry,NE,TE,17,0,0,0,0.1,0,48.6,556.9,6.2,0,0,0,0,8.3,141.1
170,13291,Julio Jones,TB,WR,17,0,0,0,0,0,51.1,675.8,3.8,0,0,0,0,8.3,140.48
171,22597,Jalen Tolbert,DAL,WR,17,0,0,0,3.2,0,50.2,660.7,4.2,0,0,0,0,8.2,139.99
172,18916,T.J. Watt,PIT,LB,17,0,0,0,0,0,0,0,0,8.3,0.7,0.8,0.4,8.2,139.81
173,20949,Irv Smith Jr.,MIN,TE,17,0,0,0,0,0,54.5,573.9,4.8,0,0,0,0,8.2,139.69
174,13393,Robert Quinn,CHI,DL,17,0,0,0,0,0,0,0,0,7.6,0.8,1,0.5,8.2,139.62
175,23214,Kenneth Walker III,SEA,RB,17,0,0,0,742.8,4.8,19.8,151.4,0.8,0,0,0,0,8.2,139.02
176,18032,Tyler Higbee,LAR,TE,17,0,0,0,0,0,56.8,564.2,4.4,0,0,0,0,8.2,138.62
177,19891,Fred Warner,SF,LB,17,0,0,0,0,0,0,0,0,0.3,1.1,1,0.5,8.1,138.41
178,22003,Logan Wilson,CIN,LB,17,0,0,0,0,0,0,0,0,1.4,3.3,1.1,0.5,8.1,138.28
179,18876,David Njoku,CLE,TE,17,0,0,0,0,0,51.6,590.6,4.6,0,0,0,0,8.1,137.86
180,22613,Joshua Palmer,LAC,WR,17,0,0,0,6.4,0,48.9,602.8,4.7,0,0,0,0,8.1,137.42
181,14461,Harrison Smith,MIN,S,17,0,0,0,0,0,0,0,0,1,2.4,1.1,0.5,8.1,137.2
182,22562,Kenneth Gainwell,PHI,RB,17,0,0,0,432,3.9,37.2,289.9,1.2,0,0,0,0,8.1,136.99
183,21794,Albert Okwuegbunam,DEN,TE,17,0,0,0,0,0,52.1,552.7,5,0,0,0,0,8,135.77
184,13749,Chandler Jones,LV,DE,17,0,0,0,0,0,0,0,0,7.4,0.9,1,0.5,8,135.68
185,20753,Noah Fant,SEA,TE,17,0,0,0,0.1,0,54.8,583.8,3.9,0,0,0,0,8,135.39
186,20897,Bobby Okereke,IND,LB,17,0,0,0,0,0,0,0,0,0.5,1.3,1.5,0.7,8,135.25
187,13810,Demario Davis,NO,LB,17,0,0,0,0,0,0,0,0,2.3,0.2,1.2,0.6,8,135.21
188,16786,Shaq Thompson,CAR,LB,17,0,0,0,0,0,0,0,0,1.1,1,1.1,0.5,8,135.17
188,19836,Tremaine Edmunds,BUF,LB,17,0,0,0,0,0,0,0,0,0.6,0.6,1,0.5,8,135.17
190,48,Dallas Cowboys,DAL,DST,17,0,0,0,0,0,0,0,0,40.9,15,13,13.8,7.9,135
191,18879,Corey Davis,NYJ,WR,17,0,0,0,0.1,0,46.2,640,4.2,0,0,0,0,7.9,134.41
192,14688,Justin Tucker,BAL,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.9,134.1
193,17961,Sterling Shepard,NYG,WR,17,0,0,0,5.2,0,57.5,582.9,3.1,0,0,0,0,7.9,133.91
194,21754,Donovan Peoples-Jones,CLE,WR,17,0,0,0,2.3,0,43.4,671,4,0,0,0,0,7.9,133.73
195,23247,James Cook,BUF,RB,17,0,0,0,449.6,3.4,36.2,273.5,1.2,0,0,0,0,7.9,133.71
196,16133,Christian Kirksey,HOU,OLB,17,0,0,0,0,0,0,0,0,0.9,1.6,1.1,0.5,7.8,133.43
197,22108,Tyler Bass,BUF,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.8,133
198,19882,Jerome Baker,MIA,LB,17,0,0,0,0,0,0,0,0,3.1,0.5,1.2,0.6,7.8,132.72
199,20769,Matt Gay,LAR,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.8,132.5
200,18935,Gerald Everett,LAC,TE,17,0,0,0,0.2,0,52.2,553.6,4.3,0,0,0,0,7.8,131.78
201,16845,Jordan Hicks,MIN,LB,17,0,0,0,0,0,0,0,0,1.4,0.5,1.1,0.5,7.7,131.63
202,21739,Van Jefferson,LAR,WR,17,0,0,0,13.3,0,45.3,649.6,3.4,0,0,0,0,7.7,131.59
203,22908,Evan McPherson,CIN,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.7,131.3
204,18912,Evan Engram,JAX,TE,17,0,0,0,0,0,52.9,578.1,3.5,0,0,0,0,7.7,130.51
205,20731,Johnathan Abram,LV,S,17,0,0,0,0,0,0,0,0,0,1.9,1.2,0.6,7.6,130.05
206,8750,Ryan Succop,TB,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.6,130
207,18995,Jamaal Williams,DET,RB,17,0,0,0,640.7,3.5,26.1,163.3,0.8,0,0,0,0,7.6,129.9
208,18464,J.D. McKissic,WAS,RB,17,0,0,0,246.8,1.8,46.6,382.9,1.8,0,0,0,0,7.6,129.57
209,21759,KJ Hamler,DEN,WR,17,0,0,0,14.3,0,45.6,610.3,3.6,0,0,0,0,7.6,129.46
210,20862,David Long Jr.,TEN,LB,17,0,0,0,0,0,0,0,0,0.1,1.5,1.1,0.5,7.6,128.97
211,18052,Blake Martinez,NYG,ILB,17,0,0,0,0,0,0,0,0,1.1,0.7,0.8,0.4,7.6,128.72
212,23170,Wan'Dale Robinson,NYG,WR,17,0,0,0,65.6,0.5,48.9,557.5,2.5,0,0,0,0,7.6,128.41
213,20868,Alexander Mattison,MIN,RB,17,0,0,0,548.5,3.5,28.4,207.6,0.9,0,0,0,0,7.5,127.81
214,19989,Daniel Carlson,LV,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.5,127.8
215,14375,Lavonte David,TB,ILB,17,0,0,0,0,0,0,0,0,1.1,0.6,1.2,0.6,7.5,127.47
216,19043,Isaiah McKenzie,BUF,WR,17,0,0,0,70.9,0.7,48.9,517.8,2.6,0,0,0,0,7.4,126.57
217,17983,Deion Jones,ATL,ILB,12,0,0,0,0,0,0,0,0,2.3,0.8,0.9,0.4,10.5,126.46
218,19073,Harrison Butker,KC,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.4,126.4
219,14867,Dustin Hopkins,LAC,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.4,126
220,23232,Alec Pierce,IND,WR,17,0,0,0,5,0,45.6,601.4,3.4,0,0,0,0,7.4,125.84
221,23167,Romeo Doubs,GB,WR,17,0,0,0,3,0,44.8,570.2,4.2,0,0,0,0,7.4,125.52
