Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
1,19801,Josh Allen,BUF,QB,17,4381.8,33.3,13.7,657.9,6.2,0,0,0,0,0,0,0,22.2,377.06
2,18890,Patrick Mahomes,KC,QB,17,4706.2,34.5,11.8,344.8,2.4,0,0,0,0,0,0,0,20.3,345.73
3,18882,Cooper Kupp,LAR,WR,17,0,0,0,20.5,0.1,121.7,1580.3,10,0,0,0,0,20,340.78
4,21681,Justin Herbert,LAC,QB,17,4673,33.5,13,283.7,3.3,0,0,0,0,0,0,0,19.9,338.49
5,21682,Jonathan Taylor,IND,RB,17,0,0,0,1589,14.6,43.5,369.9,2.6,0,0,0,0,19.8,337.19
6,19781,Lamar Jackson,BAL,QB,17,3637.5,23.7,13.5,990.5,5.1,0,0,0,0,0,0,0,19.8,335.75
7,20889,Kyler Murray,ARI,QB,17,4238.9,25.9,12.5,521.6,5.8,0,0,0,0,0,0,0,19.4,329.92
8,21831,Jalen Hurts,PHI,QB,17,3683.3,23.3,12.2,733.6,7.7,0,0,0,0,0,0,0,19.4,329.49
9,18877,Christian McCaffrey,CAR,RB,17,0,0,0,1000,7.1,87.2,727.9,3.8,0,0,0,0,18.9,321.19
10,4314,Tom Brady,TB,QB,17,4775.4,35.1,12.3,45.3,1.6,0,0,0,0,0,0,0,18.6,315.75
11,14536,Russell Wilson,DEN,QB,17,4208.8,30.1,10.1,309.3,2.3,0,0,0,0,0,0,0,18.2,309.28
12,21693,Joe Burrow,CIN,QB,17,4565,32.1,12.6,162.4,2,0,0,0,0,0,0,0,18.2,309.24
13,19562,Austin Ekeler,LAC,RB,17,0,0,0,926.9,8.5,71.9,640.8,4.9,0,0,0,0,17.9,305.07
14,2593,Aaron Rodgers,GB,QB,17,4105.4,32.8,6.4,124.8,2.1,0,0,0,0,0,0,0,17.9,303.9
15,18055,Dak Prescott,DAL,QB,17,4453.5,30.5,11.8,195.5,2.3,0,0,0,0,0,0,0,17.8,302.09
16,21685,Justin Jefferson,MIN,WR,17,0,0,0,21.7,0.1,102.2,1516.6,7.8,0,0,0,0,17.8,301.83
17,22493,Trey Lance,SF,QB,17,3613.5,22.4,13.2,665.4,5.6,0,0,0,0,0,0,0,17.7,301.28
18,9038,Matthew Stafford,LAR,QB,17,4611,32.4,14.1,80.2,0.8,0,0,0,0,0,0,0,17.4,295.26
19,16470,Davante Adams,LV,WR,17,0,0,0,0,0,106.3,1306.1,8.8,0,0,0,0,17,288.31
20,14252,Kirk Cousins,MIN,QB,17,4348.4,30.5,10.8,110.1,1,0,0,0,0,0,0,0,16.8,285.55
21,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,45.7,0.2,87.8,1380.9,8.8,0,0,0,0,16.7,283.26
22,17959,Derrick Henry,TEN,RB,17,0,0,0,1514.5,12.4,29.7,234.2,1.6,0,0,0,0,16.7,283.17
23,16311,Derek Carr,LV,QB,17,4482.6,29,12.4,107.6,1,0,0,0,0,0,0,0,16.5,280.66
24,16906,Stefon Diggs,BUF,WR,17,0,0,0,2.5,0,101.7,1258.4,8.9,0,0,0,0,16.5,279.99
25,21768,Najee Harris,PIT,RB,17,0,0,0,1147.3,7.8,63,424.1,2.5,0,0,0,0,16.3,276.94
26,18872,Dalvin Cook,MIN,RB,17,0,0,0,1244.8,9.9,47,367.4,1.6,0,0,0,0,16,272.22
27,21677,Tua Tagovailoa,MIA,QB,17,3987.2,26.3,13.1,189,3,0,0,0,0,0,0,0,16,271.79
28,22490,Trevor Lawrence,JAX,QB,17,4050.3,23.2,13.7,332.1,2.3,0,0,0,0,0,0,0,15.7,267.62
29,18858,Joe Mixon,CIN,RB,17,0,0,0,1179.1,9.9,45.6,332.9,2.6,0,0,0,0,15.7,267.2
30,18878,Alvin Kamara,NO,RB,17,0,0,0,899.5,7.1,60.7,543.6,3.3,0,0,0,0,15.5,263.41
31,22492,Justin Fields,CHI,QB,17,3587.6,20,15.1,557.8,3.5,0,0,0,0,0,0,0,15.4,261.28
32,18803,Leonard Fournette,TB,RB,17,0,0,0,945.6,8.7,62.8,431.9,1.9,0,0,0,0,15.3,260.35
33,21679,CeeDee Lamb,DAL,WR,17,0,0,0,61,0.1,91.6,1230.2,6.6,0,0,0,0,15.3,259.72
34,13799,Ryan Tannehill,TEN,QB,17,3663.9,23.4,12.3,248.1,4.1,0,0,0,0,0,0,0,15.3,259.37
35,21684,D'Andre Swift,DET,RB,17,0,0,0,861.1,6.4,67.2,522.2,2.6,0,0,0,0,15,255.13
36,20932,Deebo Samuel,SF,WR,17,0,0,0,336.5,4.4,67.5,1011.3,4.6,0,0,0,0,15,254.68
37,15048,Travis Kelce,KC,TE,17,0,0,0,1.3,0,95.9,1144.5,7.5,0,0,0,0,15,254.48
38,19045,Aaron Jones,GB,RB,17,0,0,0,857.3,5.9,62.7,512.5,3.8,0,0,0,0,14.9,254.08
39,19766,Saquon Barkley,NYG,RB,17,0,0,0,986,6.9,57.8,436.5,2.7,0,0,0,0,14.9,253.25
40,16762,Jameis Winston,NO,QB,17,3708.9,24.8,13.4,279.9,1.7,0,0,0,0,0,0,0,14.9,252.75
41,18082,Tyreek Hill,MIA,WR,17,0,0,0,81,0.6,90.7,1117.6,6.6,0,0,0,0,14.8,252.16
42,15076,Keenan Allen,LAC,WR,17,0,0,0,0.9,0,101.3,1092.2,7,0,0,0,0,14.8,251.21
43,732,Matt Ryan,IND,QB,17,3922,24.9,11.2,119.5,1.6,0,0,0,0,0,0,0,14.6,248.83
44,20841,Daniel Jones,NYG,QB,17,3567.1,20.4,13.3,405.9,3.1,0,0,0,0,0,0,0,14.6,247.87
45,16597,Mike Evans,TB,WR,17,0,0,0,2.9,0,76.8,1078.1,10.5,0,0,0,0,14.5,246.7
46,21690,Tee Higgins,CIN,WR,17,0,0,0,1,0,84.5,1182.6,7.5,0,0,0,0,14.5,246.66
47,22558,Javonte Williams,DEN,RB,17,0,0,0,1027.2,7.1,48.5,365.3,2.9,0,0,0,0,14.3,243.55
48,18983,James Conner,ARI,RB,17,0,0,0,935.4,10.3,43.3,349.7,2.2,0,0,0,0,14.3,242.61
49,19803,Mark Andrews,BAL,TE,17,0,0,0,0,0,85.3,1076.3,8.5,0,0,0,0,14.3,242.53
50,22496,Mac Jones,NE,QB,17,3888.6,24.8,13.7,143.7,0.6,0,0,0,0,0,0,0,14.2,241.31
51,21744,Michael Pittman Jr.,IND,WR,17,0,0,0,32.9,0,91,1137,5.6,0,0,0,0,14.1,240.19
52,21042,A.J. Brown,PHI,WR,17,0,0,0,14.9,0,77.1,1137.2,8,0,0,0,0,14.1,238.91
53,19844,DJ Moore,CAR,WR,17,0,0,0,50.8,0.1,85.7,1160.7,4.7,0,0,0,0,13.8,234.05
54,17920,Carson Wentz,WAS,QB,17,3584.5,22.5,12,210.1,1.3,0,0,0,0,0,0,0,13.7,232.39
55,17922,Jared Goff,DET,QB,17,3829.9,23.6,12.2,86.5,0.8,0,0,0,0,0,0,0,13.5,229.45
56,21077,Diontae Johnson,PIT,WR,17,0,0,0,40.9,0.1,92,1024.4,5.3,0,0,0,0,13.5,228.73
57,18914,Mike Williams,LAC,WR,17,0,0,0,0.1,0,73.4,1090.5,7.9,0,0,0,0,13.5,228.66
58,22598,Jaylen Waddle,MIA,WR,17,0,0,0,28.6,0.5,89.6,1004.4,5.7,0,0,0,0,13.4,228.5
59,19798,Nick Chubb,CLE,RB,17,0,0,0,1248.5,8.6,25.7,206.6,1.4,0,0,0,0,13.4,227.21
60,20873,Terry McLaurin,WAS,WR,17,0,0,0,11.9,0,80.8,1105.5,6,0,0,0,0,13.4,227.14
61,16568,Brandin Cooks,HOU,WR,17,0,0,0,21.3,0,88.6,1065.3,5.2,0,0,0,0,13.4,227.06
62,19790,Baker Mayfield,CAR,QB,17,3856.8,21.8,14.6,136.7,1.1,0,0,0,0,0,0,0,13.3,226.74
63,22495,Zach Wilson,NYJ,QB,17,3402.2,20,13.6,232,2.9,0,0,0,0,0,0,0,13.2,223.89
64,20875,DK Metcalf,SEA,WR,17,0,0,0,5.4,0,76.8,1046.5,7.1,0,0,0,0,13.1,222.99
65,21696,Travis Etienne Jr.,JAX,RB,17,0,0,0,783.2,5.2,56.3,445.5,2.2,0,0,0,0,12.9,219.57
66,19800,Courtland Sutton,DEN,WR,17,0,0,0,0.7,0,74.5,1060.9,6.7,0,0,0,0,12.9,219.46
67,21045,Marquise Brown,ARI,WR,17,0,0,0,8.9,0,79.3,1016.5,6.3,0,0,0,0,12.8,218.24
68,16263,Allen Robinson II,LAR,WR,17,0,0,0,0,0,77.3,991,7,0,0,0,0,12.8,217.2
69,20882,David Montgomery,CHI,RB,17,0,0,0,901.7,7,45.3,339.6,1.4,0,0,0,0,12.7,215.63
70,22505,Davis Mills,HOU,QB,17,3775.2,21.5,14.3,80.8,0.5,0,0,0,0,0,0,0,12.6,214.89
71,17923,Ezekiel Elliott,DAL,RB,17,0,0,0,935.6,8.4,39.8,270.7,1.4,0,0,0,0,12.6,214.83
72,17960,Michael Thomas,NO,WR,17,0,0,0,-0.3,0,80.6,971.6,6.1,0,0,0,0,12.5,212.93
73,18880,Chris Godwin,TB,WR,17,0,0,0,15.2,0.3,82,961.4,5.2,0,0,0,0,12.4,210.66
74,22587,Amon-Ra St. Brown,DET,WR,17,0,0,0,62.7,0.4,84.3,914.7,4.6,0,0,0,0,12.4,210.44
75,22508,Kyle Pitts,ATL,TE,17,0,0,0,0,0,76.9,1039.6,5.1,0,0,0,0,12.3,209.86
76,21692,Jerry Jeudy,DEN,WR,17,0,0,0,11.9,0,76.7,1033.6,5,0,0,0,0,12.3,209.85
77,21735,Gabe Davis,BUF,WR,17,0,0,0,2.6,0,62,938.7,8.9,0,0,0,0,12.3,209.13
78,21961,Darnell Mooney,CHI,WR,17,0,0,0,28.9,0.2,77.2,1034.1,4.2,0,0,0,0,12.3,208.5
79,22623,Rashod Bateman,BAL,WR,17,0,0,0,10.8,0,77.3,959,5.8,0,0,0,0,12.2,207.68
80,18883,JuJu Smith-Schuster,KC,WR,17,0,0,0,13.3,0.5,78.5,866.3,6.5,0,0,0,0,12.2,207.46
81,22526,Breece Hall,NYJ,RB,17,0,0,0,946.4,6.4,37.7,309.9,1.6,0,0,0,0,12.1,206.53
82,21688,Cam Akers,LAR,RB,17,0,0,0,958.3,7.3,35.5,281,1.4,0,0,0,0,12.1,205.43
83,15534,Adam Thielen,MIN,WR,17,0,0,0,1.5,0,74,830.7,8.2,0,0,0,0,12.1,205.02
84,16763,Marcus Mariota,ATL,QB,17,3064.2,16.7,11.4,271.3,2,0,0,0,0,0,0,0,11.9,201.7
85,20824,Josh Jacobs,LV,RB,17,0,0,0,908.5,8.2,35.6,242.3,0.9,0,0,0,0,11.8,201.08
86,22535,Elijah Mitchell,SF,RB,17,0,0,0,1079.8,6.9,26.8,200.8,1.3,0,0,0,0,11.8,200.26
87,16765,Amari Cooper,CLE,WR,17,0,0,0,0.8,0,74.1,912,5.8,0,0,0,0,11.7,198.98
88,21674,J.K. Dobbins,BAL,RB,17,0,0,0,940.8,7.9,30.1,222.9,1,0,0,0,0,11.6,197.07
89,19815,Christian Kirk,JAX,WR,17,0,0,0,11.6,0,76.1,909.6,4.8,0,0,0,0,11.5,195.62
90,16830,Tyler Lockett,SEA,WR,17,0,0,0,5.8,0,75,942.9,4.5,0,0,0,0,11.5,195.47
91,16964,Darren Waller,LV,TE,17,0,0,0,0,0,75.2,922.7,4.8,0,0,0,0,11.5,194.87
92,20924,Hunter Renfrow,LV,WR,17,0,0,0,8.5,0,80.2,830.5,5.3,0,0,0,0,11.4,194.5
93,22592,Elijah Moore,NYJ,WR,17,0,0,0,46.3,0.5,66.9,875,5.1,0,0,0,0,11.2,191.23
94,19919,Chase Edmonds,MIA,RB,17,0,0,0,724.9,3.9,51.9,375.8,1.4,0,0,0,0,11.2,190.37
95,20007,Foyesade Oluokun,JAX,LB,17,0,0,0,0,0,0,0,0,2.3,2.1,1.1,0.6,11.1,189.11
96,23223,Dameon Pierce,HOU,RB,17,0,0,0,904,5.7,34,268.6,1.3,0,0,0,0,11.1,188.46
97,21802,AJ Dillon,GB,RB,17,0,0,0,838.1,5.8,35,287,1.5,0,0,0,0,11.1,188.31
