Rank,PlayerID,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,RushShare,TargetSnapPercentage,TargetShare,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR
463,17218,DeAndre Carter,WAS,WR,17,505,29.7,44.8,2,2.1,8.7,8.239700374531836,6.7,10.7,80.5,15.9
463,22746,Jonathon Cooper,DEN,OLB,16,457,28.6,42.1,0,0,0,0,0,0,51.2,11.2
463,21048,Austin Bryant,DET,DL,14,436,31.1,38.2,0,0,0,0,0,0,49.05,11.2
463,19659,Dan Arnold,JAX,TE,11,363,33,49.9,0,0,14.3,8.919382504288164,9.6,14.3,75.8,20.9
475,17991,Vonn Bell,CIN,S,16,1004,62.8,91.9,0,0,0,0,0,0,111.1,11.1
475,20876,Jakobi Meyers,NE,WR,17,931,54.8,84.3,0.1,0.2,13.5,24.045801526717558,9.2,13.9,186.3,20
475,19853,Mike Gesicki,MIA,TE,17,828,48.7,71.8,0,0,13.4,18.561872909698998,8.9,13.5,165,19.9
475,22870,Azeez Ojulari,NYG,OLB,17,780,45.9,66.7,0,0,0,0,0,0,86.3,11.1
475,18959,Dawuane Smoot,JAX,DL,16,676,42.2,61,0,0,0,0,0,0,74.85,11.1
475,20887,Trayvon Mullen,LV,CB,5,229,45.8,65.8,0,0,0,0,0,0,25.5,11.1
475,22078,Neville Gallimore,DAL,DT,5,164,32.8,48.5,0,0,0,0,0,0,18.15,11.1
482,13977,Whitney Mercilus,GB,OLB,10,312,31.2,48.1,0,0,0,0,0,0,34.2,11
482,16862,Trey Flowers,DET,DE,7,304,43.4,41.3,0,0,0,0,0,0,33.4,11
482,22050,Darnay Holmes,NYG,CB,11,281,25.5,36.5,0,0,0,0,0,0,31,11
482,18012,Jordan Jenkins,HOU,DE,11,282,25.6,29.9,0,0,0,0,0,0,30.9,11
482,20664,Josh Woods,DET,LB,13,260,20,27.9,0,0,0,0,0,0,28.5,11
482,14925,Shawn Williams,ATL,SS,6,163,27.2,40.8,0,0,0,0,0,0,18,11
482,22591,Dez Fitzpatrick,TEN,WR,4,99,24.8,18.1,0,0,8.1,1.5355086372360844,5.1,8.1,15.9,16.1
489,17919,Jalen Ramsey,LAR,DB,16,1037,64.8,89.8,0,0,0,0,0,0,113.5,10.9
489,18927,Budda Baker,ARI,S,17,1037,61,95.8,0,0,0,0,0,0,113,10.9
489,15136,Micah Hyde,BUF,S,17,1024,60.2,96.7,0,0,0,0,0,0,112.1,10.9
489,13870,Marvin Jones Jr.,JAX,WR,17,980,57.6,90.3,0,0,12.2,20.58319039451115,7.4,12.2,180.2,18.4
489,21923,Kamren Curl,WAS,S,16,878,54.9,79.3,0,0,0,0,0,0,96,10.9
489,19859,Uchenna Nwosu,LAC,LB,17,782,46,67.8,0,0,0,0,0,0,85.6,10.9
489,20766,Chauncey Gardner-Johnson,NO,DB,12,626,52.2,74.3,0,0,0,0,0,0,68.4,10.9
489,20842,Dre'Mont Jones,DEN,DE,16,616,38.5,56.7,0,0,0,0,0,0,67.25,10.9
489,16866,Jamison Crowder,NYJ,WR,12,538,44.8,48.4,0,0,13.2,12.26252158894646,9.5,13.2,109.7,20.4
489,19017,Josh Reynolds,DET,WR,12,475,39.6,39.8,0,0,10.3,8.73440285204991,6.1,10.3,80.6,17
489,21869,DaVon Hamilton,JAX,DT,16,442,27.6,39.9,0,0,0,0,0,0,48.2,10.9
489,18045,Deon Bush,CHI,DB,14,425,30.4,49.6,0,0,0,0,0,0,46.5,10.9
489,19191,PJ Walker,CAR,QB,5,126,25.2,11,5.6,1.54,0,0,57.9,57.9,13.78,10.9
502,21934,L'Jarius Sneed,KC,CB,15,918,61.2,82.4,0,0,0,0,0,0,99.6,10.8
502,20753,Noah Fant,DEN,TE,16,843,52.7,78,0,0,10.7,17.441860465116278,8.1,10.7,159,18.9
502,18316,Mike Hilton,CIN,CB,17,803,47.2,73.5,0,0,0,0,0,0,87,10.8
502,21754,Donovan Peoples-Jones,CLE,WR,14,699,49.9,63.1,0,0,8.3,11.623246492985972,4.9,8.3,109.7,15.7
502,16407,Bashaud Breeland,ARI,CB,13,675,51.9,69.4,0,0,0,0,0,0,73,10.8
502,21448,Jalen Guyton,LAC,WR,16,613,38.3,51.3,1.1,1.65,7.8,7.2948328267477205,6.2,9,97.2,15.9
502,19904,Ronnie Harrison Jr.,CLE,S,12,584,48.7,52.3,0,0,0,0,0,0,62.8,10.8
502,20498,Ben Niemann,KC,ILB,17,557,32.8,50,0,0,0,0,0,0,59.9,10.8
502,17294,Troy Hill,CLE,CB,12,533,44.4,47.7,0,0,0,0,0,0,57.8,10.8
502,19012,Carlos Watkins,DAL,DE,15,438,29.2,38.4,0,0,0,0,0,0,47.3,10.8
502,21939,Alohi Gilman,LAC,S,11,355,32.3,30.8,0,0,0,0,0,0,38.5,10.8
502,18915,Takkarist McKinley,CLE,DE,11,319,29,34.5,0,0,0,0,0,0,34.4,10.8
502,21894,James Lynch,MIN,DL,13,305,23.5,25.2,0,0,0,0,0,0,32.8,10.8
502,18321,Jarrod Wilson,SF,FS,9,198,22,21,0,0,0,0,0,0,21.3,10.8
516,19062,Desmond King II,HOU,DB,16,927,57.9,81.6,0,0,0,0,0,0,99.5,10.7
516,22841,Jevon Holland,MIA,S,16,893,55.8,80.2,0,0,0,0,0,0,95.9,10.7
516,19928,Taron Johnson,BUF,CB,16,878,54.9,82.9,0,0,0,0,0,0,93.9,10.7
516,19870,Donte Jackson,CAR,CB,12,718,59.8,94.2,0,0,0,0,0,0,76.5,10.7
516,16303,Daniel Sorensen,KC,S,17,698,41.1,62.7,0,0,0,0,0,0,74.4,10.7
516,18876,David Njoku,CLE,TE,16,670,41.9,60.5,0.1,0.21,7.9,10.62124248496994,5.5,8.1,107.6,16.1
516,18935,Gerald Everett,SEA,TE,15,650,43.3,65.6,0.5,0.73,9.7,13.291139240506329,7.8,10.2,117.8,18.1
516,19897,Tre'Quan Smith,NO,WR,11,520,47.3,65.2,0,0,9.6,10.683760683760683,6.2,9.6,87.7,16.9
516,19881,Justin Jones,LAC,DL,11,487,44.3,50.7,0,0,0,0,0,0,51.9,10.7
516,18060,Ronald Blair,NYJ,DE,8,313,39.1,49.9,0,0,0,0,0,0,33.6,10.7
516,18925,Kevin King,GB,CB,10,303,30.3,28.1,0,0,0,0,0,0,32.5,10.7
527,18953,Chidobe Awuzie,CIN,CB,14,777,55.5,71.2,0,0,0,0,0,0,82.5,10.6
527,22390,Elijah Riley,NYJ,S,8,386,48.2,55.7,0,0,0,0,0,0,41,10.6
527,19491,Robert Tonyan,GB,TE,8,306,38.2,60.1,0,0,9.5,5.0966608084358525,5.9,9.5,50.4,16.5
527,18134,Will Parks,NYJ,S,4,94,23.5,23.4,0,0,0,0,0,0,10,10.6
527,21178,Jason Moore Jr.,LAC,WR,2,53,26.5,39.8,0,0,7.5,0.60790273556231,5.7,7.5,8.6,16.2
532,22156,Tae Crowder,NYG,ILB,17,1098,64.6,93.9,0,0,0,0,0,0,115.5,10.5
532,15226,Tyrann Mathieu,KC,FS,16,998,62.4,89.6,0,0,0,0,0,0,105.1,10.5
532,21734,Nick Westbrook-Ikhine,TEN,WR,16,661,41.3,55.8,0,0,8.6,10.940499040307103,5.7,8.6,107.6,16.3
532,22943,AJ Parker,DET,CB,13,557,42.8,60.1,0,0,0,0,0,0,58.5,10.5
536,17999,Yannick Ngakoue,LV,DE,17,834,49.1,72,0,0,0,0,0,0,87,10.4
536,22735,Michael Carter II,NYJ,CB,15,742,49.5,62.5,0,0,0,0,0,0,77.5,10.4
536,18065,Quinton Jefferson,LV,DT,17,686,40.4,59.2,0,0,0,0,0,0,71.15,10.4
536,21960,Freddie Swain,SEA,WR,17,592,34.8,59.7,0.8,1.21,6.8,8.438818565400844,5.1,7.6,86.5,14.6
536,18904,Solomon Thomas,LV,DL,17,554,32.6,47.8,0,0,0,0,0,0,57.45,10.4
536,17037,Justin Coleman,MIA,CB,16,380,23.8,34.1,0,0,0,0,0,0,39.5,10.4
536,18177,Jonathan Jones,NE,DB,6,225,37.5,54.3,0,0,0,0,0,0,23.5,10.4
543,22808,Brandin Echols,NYJ,CB,14,760,54.3,76.8,0,0,0,0,0,0,78.5,10.3
543,3341,Calais Campbell,BAL,DT,15,617,41.1,56.7,0,0,0,0,0,0,63.35,10.3
543,16593,Cameron Brate,TB,TE,17,469,27.6,39.6,0,0,12.2,7.949790794979079,6.4,12.2,78.5,16.7
543,21783,Harrison Bryant,CLE,TE,16,402,25.1,36.3,0,0,7,5.61122244488978,5.2,7,62.3,15.5
543,21903,Terrell Lewis,LAR,OLB,11,367,33.4,31.8,0,0,0,0,0,0,37.9,10.3
543,12955,J.J. Watt,ARI,DE,7,341,48.7,66.9,0,0,0,0,0,0,35.1,10.3
543,18913,Jarrad Davis,NYJ,LB,9,209,23.2,28.1,0,0,0,0,0,0,21.5,10.3
543,15113,Jon Bostic,WAS,ILB,4,179,44.8,58.7,0,0,0,0,0,0,18.5,10.3
551,16143,K'Waun Williams,SF,CB,14,648,46.3,59.8,0,0,0,0,0,0,66.4,10.2
551,19834,Vita Vea,TB,DL,16,607,37.9,53.8,0,0,0,0,0,0,61.7,10.2
551,17914,Laquon Treadwell,JAX,WR,12,485,40.4,65.5,0,0,10.5,8.747855917667238,6.8,10.5,82.4,17
551,21794,Albert Okwuegbunam,DEN,TE,14,421,30.1,47.3,0,0,9.5,7.751937984496124,7.8,9.5,76,18.1
551,19273,Eric Wilson,HOU,LB,14,388,27.7,33.2,0,0,0,0,0,0,39.5,10.2
556,20733,Nasir Adderley,LAC,S,15,989,65.9,85.7,0,0,0,0,0,0,100.35,10.1
556,18923,Jamal Adams,SEA,SS,12,872,72.7,96.2,0,0,0,0,0,0,88.5,10.1
556,21054,Devin Bush,PIT,LB,14,762,54.4,65.4,0,0,0,0,0,0,77.3,10.1
556,18056,Dean Lowry,GB,DL,17,674,39.6,62.6,0,0,0,0,0,0,68.2,10.1
556,22085,Derrick Brown,CAR,DT,16,632,39.5,58.2,0,0,0,0,0,0,63.8,10.1
556,16067,Kerry Hyder Jr.,SEA,DL,15,506,33.7,40,0,0,0,0,0,0,50.95,10.1
556,21900,Justin Madubuike,BAL,DT,15,484,32.3,44.5,0,0,0,0,0,0,49,10.1
556,15988,Ross Cockrell,TB,CB,17,474,27.9,42,0,0,0,0,0,0,48,10.1
556,18932,DeMarcus Walker,HOU,DL,13,456,35.1,45.1,0,0,0,0,0,0,46.2,10.1
565,17976,Xavien Howard,MIA,CB,16,1026,64.1,92.1,0,0,0,0,0,0,102.5,10
565,19800,Courtland Sutton,DEN,WR,17,920,54.1,85.1,0,0,10.7,18.992248062015506,6.4,10.8,150.24,16.3
565,19841,Daron Payne,WAS,DT,17,837,49.2,75.6,0,0,0,0,0,0,83.75,10
565,19105,Al-Quadin Muhammad,IND,DL,17,801,47.1,74.2,0,0,0,0,0,0,80.1,10
565,20204,Charvarius Ward,KC,CB,13,753,57.9,67.6,0,0,0,0,0,0,75.5,10
565,19930,Bilal Nichols,CHI,DT,17,678,39.9,64.1,0,0,0,0,0,0,67.7,10
565,20754,Rashad Fenton,KC,CB,14,538,38.4,48.3,0,0,0,0,0,0,54,10
565,17993,Adam Gotsis,JAX,DL,16,442,27.6,39.9,0,0,0,0,0,0,44.2,10
565,18042,David Onyemata,NO,DT,11,430,39.1,60.6,0,0,0,0,0,0,43.2,10
565,16688,Cassius Marsh,CHI,DE,4,97,24.2,38,0,0,0,0,0,0,9.7,10
565,22319,T.J. Smith,MIN,DL,1,20,20,9.4,0,0,0,0,0,0,2,10
576,19084,Xavier Woods,MIN,S,17,1208,71.1,100,0,0,0,0,0,0,119.3,9.9
576,18023,Justin Simmons,DEN,S,17,1084,63.8,99.8,0,0,0,0,0,0,107.3,9.9
576,16917,C.J. Uzomah,CIN,TE,16,803,50.2,73,0,0,7.8,11.666666666666666,6.1,7.8,128.3,16
576,17899,Erik Harris,ATL,S,12,703,58.6,78.9,0,0,0,0,0,0,69.6,9.9
576,16861,Angelo Blackson,CHI,DL,17,583,34.3,55.1,0,0,0,0,0,0,57.45,9.9
576,22228,Myles Hartsfield,CAR,DB,10,473,47.3,73.3,0,0,0,0,0,0,46.7,9.9
576,17295,DeShawn Williams,DEN,DL,15,386,25.7,41,0,0,0,0,0,0,38.3,9.9
576,21798,Josiah Deguara,GB,TE,16,367,22.9,32.9,0,0,9,5.799648506151143,6.8,9,61.5,16.8
576,16457,Nevin Lawson,JAX,CB,12,333,27.8,34.7,0,0,0,0,0,0,33,9.9
576,18963,Derek Rivers,HOU,DE,5,143,28.6,26.7,0,0,0,0,0,0,14.1,9.9
586,22075,A.J. Terrell,ATL,CB,16,1024,64,88,0,0,0,0,0,0,100.7,9.8
586,20888,Byron Murphy Jr.,ARI,CB,16,967,60.4,89.3,0,0,0,0,0,0,94.55,9.8
586,17925,Myles Jack,JAX,LB,15,919,61.3,82.9,0,0,0,0,0,0,90,9.8
586,16778,Arik Armstead,SF,DL,17,820,48.2,75.7,0,0,0,0,0,0,80.3,9.8
586,13721,Fletcher Cox,PHI,DT,16,749,46.8,66.9,0,0,0,0,0,0,73.65,9.8
586,21925,Ashtyn Davis,NYJ,S,13,746,57.4,74.7,0,0,0,0,0,0,72.8,9.8
586,20975,Armon Watts,MIN,DL,17,670,39.4,55.5,0,0,0,0,0,0,65.4,9.8
586,13748,Dont'a Hightower,NE,LB,15,634,42.3,59.6,0,0,0,0,0,0,62.35,9.8
586,22775,Joe Tryon-Shoyinka,TB,OLB,17,539,31.7,47.8,0,0,0,0,0,0,52.7,9.8
586,20001,Dane Cruikshank,TEN,DB,14,414,29.6,45.7,0,0,0,0,0,0,40.5,9.8
586,20905,Donald Parham Jr.,LAC,TE,14,398,28.4,40.9,0,0,6.8,4.103343465045593,5,6.8,59,14.8
586,22109,Julian Blackmon,IND,S,6,376,62.7,98.7,0,0,0,0,0,0,36.8,9.8
586,15201,Mike Glennon,NYG,QB,6,315,52.5,28.6,2.2,1.67,0,0,55.2,55.2,30.9,9.8
586,17953,Artie Burns,CHI,CB,11,285,25.9,26.9,0,0,0,0,0,0,28,9.8
600,20919,Taylor Rapp,LAR,DB,17,1114,65.5,96.5,0,0,0,0,0,0,107.7,9.7
600,15127,Darius Slay,PHI,CB,16,955,59.7,85.3,0,0,0,0,0,0,93,9.7
600,18032,Tyler Higbee,LAR,TE,15,883,58.9,81.1,0,0,9.6,14.119601328903654,6.9,9.6,147,16.6
600,19890,Rasheem Green,SEA,DL,17,846,49.8,66.8,0,0,0,0,0,0,82.15,9.7
600,22921,Nate Hobbs,LV,CB,16,838,52.4,72.3,0,0,0,0,0,0,81.1,9.7
600,19942,John Franklin-Myers,NYJ,DL,16,717,44.8,60.4,0,0,0,0,0,0,69.6,9.7
600,14894,Sheldon Richardson,MIN,DT,17,689,40.5,57,0,0,0,0,0,0,66.95,9.7
600,20985,Greedy Williams,CLE,CB,16,590,36.9,52.8,0,0,0,0,0,0,57,9.7
600,19880,Derrick Nnadi,KC,DT,17,450,26.5,40.4,0,0,0,0,0,0,43.5,9.7
600,22052,CJ Henderson,CAR,CB,12,390,32.5,34.3,0,0,0,0,0,0,38,9.7
610,21936,Xavier McKinney,NYG,S,17,1133,66.6,96.9,0,0,0,0,0,0,109,9.6
610,18106,Anthony Brown,DAL,CB,16,1047,65.4,91.7,0,0,0,0,0,0,101,9.6
610,19873,Jessie Bates III,CIN,S,15,953,63.5,87.3,0,0,0,0,0,0,91.5,9.6
610,22704,Paulson Adebo,NO,CB,17,850,50,76.1,0,0,0,0,0,0,81.5,9.6
610,21064,Jamel Dean,TB,CB,15,685,45.7,60.7,0,0,0,0,0,0,65.5,9.6
610,19053,Davon Godchaux,NE,DT,17,639,37.6,60.1,0,0,0,0,0,0,61.2,9.6
610,21142,Olamide Zaccheaus,ATL,WR,17,610,35.9,58,0.2,0.25,8.7,9.54954954954955,5.2,8.9,89.8,14.7
610,18292,Roy Robertson-Harris,JAX,DL,14,547,39.1,49.4,0,0,0,0,0,0,52.3,9.6
610,16976,Christian Covington,LAC,DL,16,524,32.8,45.4,0,0,0,0,0,0,50.1,9.6
610,11414,Everson Griffen,MIN,DE,9,457,50.8,37.8,0,0,0,0,0,0,43.7,9.6
610,18920,Malik Hooker,DAL,S,15,446,29.7,39.1,0,0,0,0,0,0,43,9.6
610,22820,Chauncey Golston,DAL,DE,15,414,27.6,36.3,0,0,0,0,0,0,39.7,9.6
610,16283,Bradley Roby,NO,CB,14,394,28.1,37.2,0,0,0,0,0,0,37.7,9.6
610,22848,Robert Rochell,LAR,DB,11,234,21.3,21.7,0,0,0,0,0,0,22.5,9.6
