Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Targets,Receptions,ReceivingYards,ReceivingTDs,Cushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ContestedCatchConversionRate,YardsPerReception,YardsPerTarget,YardsPerPassRoute,Drops,DropRate
65,11056,A. Brown,33.1,61,45,483,4,3.89,1.71,95.7,9,4,44.4,10.7,7.9,2.07,0,0
66,20762,T. Fulgham,26,67,38,539,4,3.84,1.52,74.5,22,8,36.4,14.2,8,1.55,2,3
67,17141,D. Byrd,28.6,76,47,604,1,3.52,1.77,87,13,4,30.8,12.9,7.9,1.35,2,2.6
68,12845,A. Green,33.1,104,47,523,2,3.32,1.16,74.6,38,17,44.7,11.1,5,1.03,3,2.9
69,19864,A. Miller,26.9,76,49,485,2,3.43,1.55,87.5,11,2,18.2,9.9,6.4,1.13,4,5.3
70,18047,D. Robinson,26.9,59,45,466,3,4.05,2.19,91.8,8,3,37.5,10.4,7.9,1.01,4,6.8
71,9906,D. Amendola,35.8,69,46,602,0,3.88,1.13,90.2,2,1,50,13.1,8.7,1.92,3,4.3
72,19897,T. Smith,25.6,50,34,448,4,4.35,2.14,85,6,1,16.7,13.2,9,1.19,4,8
73,21138,S. Miller,24.1,53,33,501,3,3.97,1.88,82.5,7,4,57.1,15.2,9.5,1.9,4,7.5
74,5571,L. Fitzgerald,38,72,54,409,1,3.74,1.68,91.5,8,5,62.5,7.6,5.7,0.97,0,0
75,13227,R. Cobb,31,48,38,441,3,4.19,1.49,88.4,6,3,50,11.6,9.2,1.71,0,0
76,21744,M. Pittman Jr.,23.9,60,40,503,1,3.93,1.58,87,3,1,33.3,12.6,8.4,1.43,4,6.7
77,20145,A. Lazard,25.7,46,33,451,3,3.55,2.17,84.6,3,2,66.7,13.7,9.8,1.81,3,6.5
78,20038,B. Berrios,25.9,55,37,394,3,3.16,1.55,88.1,6,1,16.7,10.6,7.2,2.26,2,3.6
79,16837,C. Conley,28.8,63,40,471,2,3.87,1.79,85.1,12,6,50,11.8,7.5,1.58,5,7.9
80,16640,J. Brown,31.4,52,33,458,3,3,2.07,84.6,9,6,66.7,13.9,8.8,1.65,2,3.8
81,16141,W. Snead IV,28.9,48,33,432,3,3.47,2.19,82.5,8,1,12.5,13.1,9,1.67,6,12.5
82,16003,S. Watkins,28.2,55,37,421,2,3.35,2.18,88.1,7,3,42.9,11.4,7.7,1.28,3,5.5
83,11611,G. Tate,33.1,52,35,388,2,3.42,1.03,72.9,16,9,56.2,11.1,7.5,1.32,4,7.7
84,20529,C. Sims,25.6,48,32,477,1,3.99,1.97,86.5,7,2,28.6,14.9,9.9,1.33,3,6.2
85,19937,K. Coutee,24.6,40,33,400,3,3.97,1.68,97.1,6,4,66.7,12.1,10,1.88,0,0
86,17960,M. Thomas,28.5,55,40,438,0,3.88,1.45,97.6,12,9,75,10.9,8,2.22,1,1.8
87,18103,J. Grant Sr.,28.8,54,36,373,1,3.1,1.87,85.7,6,4,66.7,10.4,6.9,1.32,5,9.3
88,20932,D. Samuel,25.6,44,33,391,1,4.2,1.93,91.7,2,2,100,11.8,8.9,2.37,3,6.8
89,21686,J. Reagor,22.7,54,31,396,1,3.78,1.23,83.8,13,5,38.5,12.8,7.3,1.27,1,1.9
90,20792,N. Harry,23.7,58,33,309,2,3.37,1.52,86.8,14,10,71.4,9.4,5.3,1.03,2,3.4
