Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Targets,Receptions,ReceivingYards,ReceivingTDs,Cushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ContestedCatchConversionRate,YardsPerReception,YardsPerTarget,YardsPerPassRoute,Drops,DropRate
1,16470,D. Adams,28.7,149,115,1374,18,3.54,2.13,88.5,23,11,47.8,11.9,9.2,2.97,4,2.7
2,18082,T. Hill,27.5,134,87,1276,15,3.75,1.84,88.8,19,9,47.4,14.7,9.5,2.26,6,4.5
3,16906,S. Diggs,27.7,168,127,1535,8,3.76,1.62,90.1,35,22,62.9,12.1,9.1,2.58,6,3.6
4,14986,D. Hopkins,29.2,160,115,1407,6,3.9,1.82,92.7,21,11,52.4,12.2,8.8,2.37,1,0.6
5,19802,C. Ridley,26.7,143,90,1374,9,4.42,1.9,84.1,22,8,36.4,15.3,9.6,2.49,9,6.3
6,20875,D. Metcalf,23.7,129,83,1303,10,3.33,1.53,84.7,23,13,56.5,15.7,10.1,2.12,8,6.2
7,21685,J. Jefferson,22.6,125,88,1400,7,3.88,1.8,88,20,10,50,15.9,11.2,2.65,2,1.6
8,16830,T. Lockett,28.9,132,100,1054,10,3.52,2.17,93.5,10,6,60,10.5,8,1.74,5,3.8
9,16263,A. Robinson II,28,151,102,1250,6,3.49,1.41,82.3,39,17,43.6,12.3,8.3,2.06,3,2
10,15534,A. Thielen,31,108,74,925,14,4.19,1.62,85.1,25,12,48,12.5,8.6,1.85,4,3.7
11,16597,M. Evans,28,109,70,989,13,3.49,1.66,86.4,23,10,43.5,14.1,9.1,1.79,7,6.4
12,15076,K. Allen,29.3,147,100,992,8,3.55,1.27,92.6,27,15,55.6,9.9,6.7,2,3,2
13,14871,R. Woods,29.4,130,90,935,6,4.46,1.52,92.8,19,12,63.2,10.4,7.2,1.62,5,3.8
14,21042,A. Brown,24.2,106,70,1073,11,4.21,1.47,85.4,24,14,58.3,15.3,10.1,2.76,4,3.8
15,16765,A. Cooper,27.2,130,92,1114,5,3.88,1.36,90.2,14,7,50,12.1,8.6,1.84,5,3.8
16,18883,J. Smith-Schuster,24.8,128,97,831,9,3.88,1.11,95.1,26,14,53.8,8.6,6.5,1.32,0,0
17,16568,B. Cooks,27.9,119,81,1143,6,4.26,1.97,91,18,6,33.3,14.1,9.6,2.11,4,3.4
18,13870,M. Jones Jr.,31.5,115,76,978,9,4.42,1.73,82.6,11,8,72.7,12.9,8.5,1.64,9,7.8
19,20873,T. McLaurin,25.9,134,87,1118,4,3.31,1.5,87.9,24,10,41.7,12.9,8.3,1.92,2,1.5
20,21077,D. Johnson,25.1,144,88,924,7,3.66,1.18,81.5,18,10,55.6,10.5,6.4,1.78,11,7.6
21,18187,R. Anderson,28.3,138,95,1088,3,4.36,1.68,84.1,22,10,45.5,11.5,7.9,1.99,7,5.1
22,21752,C. Claypool,23.1,109,62,859,9,3.9,1.15,80.5,26,5,19.2,13.9,7.9,1.99,5,4.6
23,19844,D. Moore,24.4,118,66,1193,4,3.88,1.63,75.9,22,11,50,18.1,10.1,2.27,10,8.5
24,18928,C. Samuel,25,97,77,844,3,4.06,1.61,92.8,8,5,62.5,11,8.7,1.95,5,5.2
25,21679,C. Lamb,22.4,109,74,935,5,3.71,1.56,85.1,16,7,43.8,12.6,8.6,1.82,6,5.5
26,18882,C. Kupp,28.2,125,92,969,3,4.01,1.73,88.5,10,6,60,10.5,7.8,1.92,7,5.6
27,14141,C. Beasley,32.3,107,82,967,4,3.31,1.71,92.1,16,13,81.2,11.8,9,2.14,3,2.8
28,21690,T. Higgins,22.6,107,67,908,6,3.66,1.15,74.4,28,10,35.7,13.6,8.5,1.86,4,3.7
29,17986,T. Boyd,26.8,110,79,841,4,3.3,1.1,88.8,13,4,30.8,10.6,7.6,1.68,1,0.9
30,18879,C. Davis,26.6,92,65,984,5,4.58,1.55,87.8,20,11,55,15.1,10.7,2.67,2,2.2
31,18880,C. Godwin,25.5,84,65,840,7,4.07,1.62,86.7,10,7,70,12.9,10,1.94,4,4.8
32,17916,W. Fuller V,27.4,75,53,879,8,3.92,1.77,85.5,11,4,36.4,16.6,11.7,2.36,4,5.3
33,16020,J. Landry,28.7,101,72,837,3,3.46,1.57,83.7,18,13,72.2,11.6,8.3,2.18,7,6.9
34,16781,N. Agholor,28.3,82,48,896,8,3.45,1.62,80,22,10,45.5,18.7,10.9,2.11,6,7.3
35,21747,B. Aiyuk,23.4,97,60,748,5,3.95,1.29,85.7,12,4,33.3,12.5,7.7,1.74,3,3.1
36,21045,M. Brown,24.2,99,58,769,8,4.12,1.87,81.7,15,4,26.7,13.3,7.8,1.8,6,6.1
37,20006,R. Gage,25.6,110,72,786,4,3.5,1.59,80,20,6,30,10.9,7.1,1.57,8,7.3
38,19867,M. Gallup,25.5,106,59,843,5,3.58,1.54,86.8,15,10,66.7,14.3,8,1.34,6,5.7
39,16866,J. Crowder,28.2,89,59,699,6,3.76,1.65,93.7,5,3,60,11.8,7.9,1.85,4,4.5
40,16775,D. Parker,28.6,103,63,793,4,2.73,0.84,75,38,23,60.5,12.6,7.7,1.56,8,7.8
41,11063,E. Sanders,34.4,82,61,726,5,4.09,1.74,110.9,5,5,100,11.9,8.9,2.23,3,3.7
42,14005,T. Hilton,31.8,93,56,762,5,3.48,1.26,83.6,20,7,35,13.6,8.2,1.78,3,3.2
43,19207,T. Patrick,27.8,79,51,742,6,3.46,1.39,91.1,21,11,52.4,14.5,9.4,1.8,1,1.3
44,17961,S. Shepard,28.5,90,66,656,3,3.77,1.83,97.1,14,8,57.1,9.9,7.3,1.84,0,0
45,21697,L. Shenault Jr.,22.9,79,58,600,5,3.92,1.22,89.2,16,9,56.2,10.3,7.6,1.56,3,3.8
46,21692,J. Jeudy,22.3,113,52,856,3,3.39,1.64,73.2,29,8,27.6,16.5,7.6,1.72,8,7.1
47,18914,M. Williams,26.9,85,48,756,5,3.44,1.28,85.7,22,6,27.3,15.8,8.9,1.63,3,3.5
48,19816,D. Chark Jr.,24.9,94,53,706,5,3.55,1.6,80.3,17,10,58.8,13.3,7.5,1.47,5,5.3
49,21961,D. Mooney,23.8,98,61,631,4,4.18,1.77,83.6,20,5,25,10.3,6.4,1.22,2,2
50,19514,K. Cole,28.4,86,55,642,5,3.88,1.96,84.6,12,5,41.7,11.7,7.5,1.11,6,7
51,19815,C. Kirk,24.8,79,48,621,6,3.81,1.82,87.3,9,3,33.3,12.9,7.9,1.28,3,3.8
52,13291,J. Jones,32.5,68,51,771,3,3.76,1.86,94.4,13,6,46.2,15.1,11.3,2.7,1,1.5
53,20943,D. Slayton,24.6,97,50,751,3,3.81,1.4,76.9,21,5,23.8,15,7.7,1.43,5,5.2
54,20876,J. Meyers,24.8,81,59,729,0,3.33,2.04,90.8,15,9,60,12.4,9,2.41,3,3.7
55,19976,M. Valdes-Scantling,26.9,63,33,691,6,3.96,1.71,71.7,9,2,22.2,20.9,11,1.66,9,14.3
56,19172,Z. Pascal,26.7,71,44,629,5,3.37,1.16,81.5,10,3,30,14.3,8.9,1.39,4,5.6
57,21735,G. Davis,22.4,62,35,599,7,4.14,2.07,76.1,19,5,26.3,17.1,9.7,1.32,3,4.8
58,20924,H. Renfrow,25.7,76,56,656,2,4.04,1.72,93.3,10,3,30,11.7,8.6,1.83,2,2.6
59,19705,G. Ward,26.1,79,53,419,6,3.13,1.59,86.9,14,8,57.1,7.9,5.3,0.84,3,3.8
60,19318,K. Bourne,26.1,74,49,667,2,4.16,1.61,77.8,13,8,61.5,13.6,9,1.5,9,12.2
61,19017,J. Reynolds,26.5,81,52,618,2,3.83,1.47,80,17,6,35.3,11.9,7.6,1.27,5,6.2
62,18089,R. Higgins,26.9,52,37,599,4,3.29,1.42,88.1,10,6,60,16.2,11.5,2.07,1,1.9
63,20788,M. Hardman,23.5,62,41,560,4,3.71,2,83.7,7,2,28.6,13.7,9,1.73,5,8.1
64,19120,D. Moore,26.6,47,35,417,6,3.8,2.21,87.5,5,4,80,11.9,8.9,1.41,2,4.3
