Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Targets,Receptions,ReceivingYards,ReceivingTDs,Cushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ContestedCatchConversionRate,YardsPerReception,YardsPerTarget,YardsPerPassRoute,Drops,DropRate
1,19803,M. Andrews,27,154,107,1361,9,4.35,1.81,88.42,29,14,48.27,12.71,8.83,2.64,6,3.89
2,15048,T. Kelce,32.9,135,92,1125,9,2.72,1.65,89.32,19,2,10.52,12.22,8.33,2.07,6,4.44
3,19920,D. Schultz,26.2,104,78,808,8,2.68,1.5,85.71,18,7,38.88,10.35,7.76,1.74,7,6.73
4,19063,G. Kittle,28.9,95,71,910,6,1.94,1.61,87.65,18,9,50,12.81,9.57,2.63,1,1.05
5,14856,Z. Ertz,31.8,112,74,763,5,3.48,1.71,90.24,24,7,29.16,10.31,6.81,1.84,5,4.46
6,22508,K. Pitts,21.9,110,68,1026,1,3.4,1.07,78.16,27,12,44.44,15.08,9.32,2.19,9,8.18
7,10974,R. Gronkowski,33.3,89,55,802,6,1.6,1.87,78.57,23,6,26.08,14.58,9.01,2.17,8,8.98
8,19853,M. Gesicki,26.9,111,73,780,2,4.04,1.57,100,34,11,32.35,10.68,7.02,1.6,3,2.7
9,19863,D. Goedert,27.7,76,56,830,4,3.16,2.3,87.5,16,8,50,14.82,10.92,2.93,6,7.89
10,17975,H. Henry,27.7,75,50,603,9,1.78,1.68,98.03,23,10,43.47,12.06,8.04,1.57,2,2.66
11,20850,D. Knox,25.8,71,49,587,9,2.16,1.77,84.48,18,8,44.44,11.97,8.26,1.38,4,5.63
12,20753,N. Fant,24.8,90,68,670,4,1.56,2.52,89.47,16,5,31.25,9.85,7.44,1.63,3,3.33
13,22507,P. Freiermuth,23.9,79,60,497,7,2.15,1.36,88.23,14,7,50,8.28,6.29,1.44,3,3.79
14,18032,T. Higbee,29.7,85,61,560,5,2.8,1.8,93.84,30,6,20,9.18,6.58,1.22,2,2.35
15,20805,T. Hockenson,25.2,83,61,583,4,3.53,1.67,91.04,15,11,73.33,9.55,7.02,1.61,2,2.4
16,19988,T. Conklin,27.1,87,61,593,3,0.94,1.62,87.14,19,7,36.84,9.72,6.81,1.38,2,2.29
17,16964,D. Waller,30,93,55,665,2,2.54,1.92,78.57,33,3,9.09,12.09,7.15,1.91,8,8.6
18,8534,J. Cook,35.4,83,48,564,4,3.63,1.72,76.19,8,5,62.5,11.75,6.79,1.33,7,8.43
19,16917,C. Uzomah,29.6,63,49,493,5,1.91,2.07,85.96,12,3,25,10.06,7.82,1.19,3,4.76
20,21772,C. Kmet,23.5,93,60,612,0,3.19,1.7,83.33,28,13,46.42,10.2,6.58,1.54,3,3.22
21,18935,G. Everett,28.2,63,48,478,4,2.81,1.58,97.95,7,5,71.42,9.95,7.58,1.48,2,3.17
22,18876,D. Njoku,26.2,53,36,475,4,1.98,1.33,83.72,13,8,61.53,13.19,8.96,1.72,3,5.66
23,18912,E. Engram,28,73,46,408,3,3.54,2.01,85.18,9,6,66.66,8.86,5.58,0.98,5,6.84
24,17963,A. Hooper,27.9,62,38,345,3,1.57,1.56,80.85,15,6,40,9.07,5.56,1.25,6,9.67
25,19296,A. Firkser,27.5,43,34,291,2,3.14,2.39,130.76,9,6,66.66,8.55,6.76,1.22,2,4.65
26,21794,A. Okwuegbunam,24.4,40,33,330,2,1.71,2.1,91.66,7,2,28.57,10,8.25,2.46,1,2.5
27,19659,D. Arnold,27.5,51,35,408,0,3.73,1.45,87.5,10,2,20,11.65,8,1.81,2,3.92
28,19943,D. Smythe,27.1,41,34,357,0,2.27,1.87,117.24,4,2,50,10.5,8.7,1.62,1,2.43
