Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
1,19801,Josh Allen,BUF,QB,17,461,29,2,147,6,0,0,0,0,0,0,0,11,187.14
2,19562,Austin Ekeler,LAC,RB,16,0,0,0,174,12,14,135,8,0,0,0,0,10.6,168.9
3,21681,Justin Herbert,LAC,QB,17,454,29,2,41,3,0,0,0,0,0,0,0,9.7,164.26
4,4314,Tom Brady,TB,QB,17,516,32,0,12,2,0,0,0,0,0,0,0,9.5,161.84
5,2593,Aaron Rodgers,GB,QB,16,427,30,2,30,3,1,-4,0,0,0,0,0,9.7,154.68
6,9038,Matthew Stafford,LAR,QB,17,473,32,1,9,0,0,0,0,0,0,0,0,8.7,147.82
7,13799,Ryan Tannehill,TEN,QB,17,347,19,3,32,7,0,0,0,0,0,0,0,7.7,131.08
8,18890,Patrick Mahomes,KC,QB,17,365,26,5,67,2,0,0,0,0,0,0,0,7.6,129.3
9,18882,Cooper Kupp,LAR,WR,17,0,0,0,-5,0,27,209,13,0,0,0,0,7.5,127.4
10,18055,Dak Prescott,DAL,QB,16,418,26,2,20,1,0,0,0,0,0,0,0,7.9,126.72
11,21831,Jalen Hurts,PHI,QB,15,265,12,2,112,9,0,0,0,0,0,0,0,8.1,121.8
12,21682,Jonathan Taylor,IND,RB,17,0,0,0,262,14,3,16,0,0,0,0,0,6.8,114.8
13,14252,Kirk Cousins,MIN,QB,16,356,24,1,2,1,0,0,0,0,0,0,0,7.2,114.44
14,18983,James Conner,ARI,RB,15,0,0,0,126,15,2,33,1,0,0,0,0,7.6,113.9
15,17923,Ezekiel Elliott,DAL,RB,17,4,0,0,131,10,12,59,2,0,0,0,0,6.4,109.16
16,18858,Joe Mixon,CIN,RB,16,0,0,0,147,12,7,24,2,0,0,0,0,6.8,108.1
17,20889,Kyler Murray,ARI,QB,14,298,16,2,59,5,0,0,0,0,0,0,0,7.7,107.82
18,16906,Stefon Diggs,BUF,WR,17,0,0,0,0,0,20,154,10,0,0,0,0,5.6,95.4
19,732,Matt Ryan,ATL,QB,17,346,18,0,8,1,0,0,0,0,0,0,0,5.6,94.64
20,17920,Carson Wentz,IND,QB,17,272,19,1,15,1,0,0,0,0,0,0,0,5.3,90.38
21,20790,Damien Harris,NE,RB,15,0,0,0,147,13,1,3,0,0,0,0,0,6,90
22,15150,Cordarrelle Patterson,ATL,RB,16,0,0,0,119,6,9,86,4,0,0,0,0,5.6,89.5
23,3807,Ben Roethlisberger,PIT,QB,16,296,17,0,-4,1,0,0,0,0,0,0,0,5.6,89.44
24,16470,Davante Adams,GB,WR,16,0,0,0,0,0,18,110,10,0,0,0,0,5.6,89
25,21677,Tua Tagovailoa,MIA,QB,13,179,15,1,32,3,0,0,0,0,0,0,0,6.8,88.36
26,16041,Jimmy Garoppolo,SF,QB,15,225,15,1,8,3,0,0,0,0,0,0,0,5.9,87.8
27,22496,Mac Jones,NE,QB,17,297,18,1,16,0,0,0,0,0,0,0,0,5.1,87.48
28,16497,Teddy Bridgewater,DEN,QB,14,292,15,1,37,2,0,0,0,0,0,0,0,6.2,87.38
29,21693,Joe Burrow,CIN,QB,16,275,16,3,21,2,0,0,0,0,0,0,0,5.3,85.1
30,19045,Aaron Jones,GB,RB,15,0,0,0,92,4,13,75,5,0,0,0,0,5.6,83.7
31,20924,Hunter Renfrow,LV,WR,17,0,0,0,0,0,18,114,9,0,0,0,0,4.9,83.4
32,16597,Mike Evans,TB,WR,16,0,0,0,0,0,14,93,10,0,0,0,0,5.2,83.3
33,19803,Mark Andrews,BAL,TE,17,0,0,0,0,0,14,102,9,0,0,0,0,4.8,82.2
34,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,13,125,9,0,0,0,0,4.7,79.5
35,18803,Leonard Fournette,TB,RB,14,0,0,0,109,6,13,64,2,0,0,0,0,5.6,78.3
36,15534,Adam Thielen,MIN,WR,13,0,0,0,0,0,13,105,9,0,0,0,0,6,77.5
37,14536,Russell Wilson,SEA,QB,14,184,14,2,41,2,0,0,0,0,0,0,0,5.5,77.46
38,16311,Derek Carr,LV,QB,17,286,17,2,15,0,0,0,0,0,0,0,0,4.4,74.94
39,18878,Alvin Kamara,NO,RB,13,0,0,0,90,3,9,70,5,0,0,0,0,5.6,73
