Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
40,19781,Lamar Jackson,BAL,QB,12,207,12,2,65,2,0,0,0,0,0,0,0,6.1,72.78
41,20824,Josh Jacobs,LV,RB,15,0,0,0,132,9,4,10,0,0,0,0,0,4.8,72.2
42,19790,Baker Mayfield,CLE,QB,14,210,13,0,10,1,0,0,0,0,0,0,0,5.1,71.4
43,17975,Hunter Henry,NE,TE,17,0,0,0,0,0,9,77,9,0,0,0,0,4.2,70.7
44,15048,Travis Kelce,KC,TE,16,0,0,0,3,1,14,79,7,0,0,0,0,4.4,70.2
45,17179,Taylor Heinicke,WAS,QB,16,236,14,4,45,1,0,0,0,0,0,0,0,4.4,69.94
46,21768,Najee Harris,PIT,RB,17,0,0,0,107,6,8,29,2,0,0,0,0,4.1,69.6
47,21861,Antonio Gibson,WAS,RB,16,0,0,0,80,7,5,24,2,0,0,0,0,4.3,69.4
48,18082,Tyreek Hill,KC,WR,17,0,0,0,6,0,16,101,7,0,0,0,0,4,68.7
49,19812,Sam Darnold,CAR,QB,12,170,8,2,35,5,0,0,0,0,0,0,0,5.7,68.3
50,16776,Melvin Gordon III,DEN,RB,16,0,0,0,112,6,6,50,2,0,0,0,0,4.3,68.2
51,17959,Derrick Henry,TEN,RB,8,5,1,0,108,8,2,7,0,0,0,0,0,8.5,67.7
52,18880,Chris Godwin,TB,WR,14,0,0,0,2,1,20,130,5,0,0,0,0,4.8,67.2
53,15076,Keenan Allen,LAC,WR,16,0,0,0,0,0,17,113,6,0,0,0,0,4.1,66.3
54,22507,Pat Freiermuth,PIT,TE,16,0,0,0,0,0,13,92,7,0,0,0,0,4.1,66.2
55,14986,DeAndre Hopkins,ARI,WR,10,0,0,0,0,0,8,89,8,0,0,0,0,6.5,64.9
56,21685,Justin Jefferson,MIN,WR,17,0,0,0,0,0,12,108,7,0,0,0,0,3.8,64.8
57,20932,Deebo Samuel,SF,WR,16,0,0,0,85,6,4,29,2,0,0,0,0,4,63.4
58,20941,Devin Singletary,BUF,RB,17,0,0,0,122,6,6,19,1,0,0,0,0,3.7,62.1
59,21802,AJ Dillon,GB,RB,17,0,0,0,112,5,5,36,2,0,0,0,0,3.6,61.8
60,22598,Jaylen Waddle,MIA,WR,16,0,0,0,1,1,12,51,6,0,0,0,0,3.7,59.2
61,20145,Allen Lazard,GB,WR,15,0,0,0,0,0,8,73,7,0,0,0,0,3.8,57.3
62,22558,Javonte Williams,DEN,RB,17,0,0,0,50,4,6,58,3,0,0,0,0,3.3,56.8
62,20850,Dawson Knox,BUF,TE,15,0,0,0,0,0,12,68,6,0,0,0,0,3.8,56.8
64,16762,Jameis Winston,NO,QB,7,147,11,0,7,1,0,0,0,0,0,0,0,8.1,56.58
65,20798,Darrell Henderson Jr.,LAR,RB,12,0,0,0,81,5,3,26,2,0,0,0,0,4.6,55.7
66,21970,James Robinson,JAX,RB,14,0,0,0,50,8,2,5,0,0,0,0,0,4,55.5
67,18032,Tyler Higbee,LAR,TE,15,0,0,0,0,0,14,103,5,0,0,0,0,3.6,54.3
68,19920,Dalton Schultz,DAL,TE,17,0,0,0,0,0,9,71,6,0,0,0,0,3.2,54.1
69,21077,Diontae Johnson,PIT,WR,16,0,0,0,0,0,13,88,5,0,0,0,0,3.4,53.8
70,22495,Zach Wilson,NYJ,QB,13,138,6,0,11,3,0,0,0,0,0,0,0,4,52.62
71,17009,Trevor Siemian,NO,QB,6,123,10,0,16,1,0,0,0,0,0,0,0,8.8,52.52
72,16524,Devonta Freeman,BAL,RB,16,0,0,0,52,5,7,43,1,0,0,0,0,3.3,52.5
73,21735,Gabe Davis,BUF,WR,16,0,0,0,0,0,9,74,6,0,0,0,0,3.3,52.4
73,16765,Amari Cooper,DAL,WR,15,0,0,0,0,0,14,84,5,0,0,0,0,3.5,52.4
75,17922,Jared Goff,DET,QB,14,201,11,2,-1,0,0,0,0,0,0,0,0,3.7,51.94
76,20768,Myles Gaskin,MIA,RB,17,0,0,0,76,3,6,20,3,0,0,0,0,3,51.6
77,19798,Nick Chubb,CLE,RB,14,0,0,0,139,5,1,5,1,0,0,0,0,3.7,51.4
78,20882,David Montgomery,CHI,RB,13,0,0,1,73,6,7,41,0,0,0,0,0,3.9,50.4
79,20500,Darrel Williams,KC,RB,17,0,0,0,63,6,6,20,0,0,0,0,0,3,50.3
80,14871,Robert Woods,LAR,WR,9,0,0,0,21,1,9,66,4,0,0,0,0,5.5,49.7
81,18914,Mike Williams,LAC,WR,16,0,0,0,0,0,9,83,5,0,0,0,0,3.1,49.3
82,22490,Trevor Lawrence,JAX,QB,17,164,7,2,45,2,0,0,0,0,0,0,0,2.9,49.06
83,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,0,0,10,87,5,0,0,0,0,2.9,48.7
84,22562,Kenneth Gainwell,PHI,RB,16,0,0,0,38,4,8,48,1,0,0,0,0,3,48.6
85,20039,Boston Scott,PHI,RB,16,0,0,0,56,7,0,0,0,0,0,0,0,3,47.6
86,21769,Clyde Edwards-Helaire,KC,RB,10,0,0,0,63,4,2,11,2,0,0,0,0,4.7,47.4
87,22587,Amon-Ra St. Brown,DET,WR,17,0,0,0,0,0,10,82,4,0,0,0,0,2.7,46.2
88,18872,Dalvin Cook,MIN,RB,13,0,0,0,112,5,2,7,0,0,0,0,0,3.5,45.9
89,20841,Daniel Jones,NYG,QB,11,70,5,0,48,2,0,0,0,0,0,0,0,4.1,45.6
90,20753,Noah Fant,DEN,TE,16,0,0,0,0,0,11,91,4,0,0,0,0,2.8,44.1
91,22505,Davis Mills,HOU,QB,13,162,8,0,5,0,0,0,0,0,0,0,0,3.3,42.98
92,22592,Elijah Moore,NYJ,WR,11,0,0,0,26,1,5,53,4,0,0,0,0,3.9,42.9
93,15071,Latavius Murray,BAL,RB,14,0,0,0,96,5,2,10,0,0,0,0,0,3,42.6
94,21784,Zack Moss,BUF,RB,13,0,0,0,60,4,4,24,1,0,0,0,0,3.3,42.4
95,16593,Cameron Brate,TB,TE,17,0,0,0,0,0,10,81,4,0,0,0,0,2.5,42.1
96,19238,Taysom Hill,NO,TE,12,54,2,0,75,4,0,0,0,0,0,0,0,3.5,41.66
97,21744,Michael Pittman Jr.,IND,WR,17,0,0,0,8,0,8,68,4,0,0,0,0,2.4,41.6
98,22535,Elijah Mitchell,SF,RB,11,0,0,0,75,4,2,20,1,0,0,0,0,3.8,41.5
99,10974,Rob Gronkowski,TB,TE,12,0,0,0,0,0,6,54,5,0,0,0,0,3.4,41.4
100,19828,Sony Michel,LAR,RB,17,0,0,0,98,4,1,3,1,0,0,0,0,2.4,41.1
101,21747,Brandon Aiyuk,SF,WR,17,0,0,0,0,0,5,39,5,0,0,0,0,2.4,40.9
102,21690,Tee Higgins,CIN,WR,14,0,0,0,0,0,7,62,4,0,0,0,0,2.8,39.2
103,20805,T.J. Hockenson,DET,TE,12,0,0,0,0,0,7,60,4,0,0,0,0,3.2,39
104,21684,D'Andre Swift,DET,RB,13,0,0,0,38,4,7,41,0,0,0,0,0,3,38.9
104,21961,Darnell Mooney,CHI,WR,17,0,0,0,18,1,7,61,3,0,0,0,0,2.3,38.9
106,13741,Brandon Bolden,NE,RB,17,0,0,0,23,1,9,74,2,0,0,0,0,2.3,38.7
107,21691,Chuba Hubbard,CAR,RB,17,0,0,0,69,4,1,2,1,0,0,0,0,2.2,38.1
108,22546,Rhamondre Stevenson,NE,RB,12,0,0,0,70,5,1,0,0,0,0,0,0,3.2,38
109,21734,Nick Westbrook-Ikhine,TEN,WR,16,0,0,0,0,0,9,68,4,0,0,0,0,2.4,37.8
110,13320,Cam Newton,CAR,QB,8,12,2,0,33,4,0,0,0,0,0,0,0,4.7,37.78
111,8534,Jared Cook,LAC,TE,16,0,0,0,0,0,6,35,4,0,0,0,0,2.3,37.5
112,19063,George Kittle,SF,TE,14,0,0,0,0,0,8,54,4,0,0,0,0,2.7,37.4
113,19844,DJ Moore,CAR,WR,17,0,0,0,0,0,6,49,4,0,0,0,0,2.2,36.9
114,20868,Alexander Mattison,MIN,RB,16,0,0,0,80,3,3,15,1,0,0,0,0,2.3,36.5
115,20006,Russell Gage,ATL,WR,14,0,0,0,0,0,9,91,3,0,0,0,0,2.6,36.1
116,17963,Austin Hooper,CLE,TE,16,0,0,0,0,0,9,63,3,0,0,0,0,2.2,35.3
117,20038,Braxton Berrios,NYJ,WR,16,0,0,0,12,2,6,40,2,0,0,0,0,2.2,35.2
118,22492,Justin Fields,CHI,QB,12,125,5,0,38,1,0,0,0,0,0,0,0,2.9,34.8
119,21717,Jauan Jennings,SF,WR,16,0,0,0,0,0,6,45,4,0,0,0,0,2.2,34.5
119,19988,Tyler Conklin,MIN,TE,17,0,0,0,0,0,10,65,3,0,0,0,0,2,34.5
121,21750,Marquez Callaway,NO,WR,17,0,0,0,0,0,5,52,4,0,0,0,0,2,34.2
122,16887,Mike Davis,ATL,RB,17,0,0,0,76,3,2,5,1,0,0,0,0,2,34.1
123,18944,Kareem Hunt,CLE,RB,8,0,0,0,40,4,2,10,0,0,0,0,0,4.1,33
124,22553,Michael Carter,NYJ,RB,14,0,0,0,61,4,2,6,0,0,0,0,0,2.3,32.7
125,21738,Juwan Johnson,NO,TE,14,0,0,0,0,0,5,33,4,0,0,0,0,2.3,32.3
126,19843,Hayden Hurst,ATL,TE,13,0,0,0,0,0,7,69,3,0,0,0,0,2.5,31.9
127,13227,Randall Cobb,GB,WR,12,0,0,0,0,0,5,28,4,0,0,0,0,2.6,31.8
128,18187,Robbie Anderson,CAR,WR,17,0,0,0,3,0,4,33,4,0,0,0,0,1.9,31.6
129,12831,Tyrod Taylor,HOU,QB,6,59,3,2,32,3,0,0,0,0,0,0,0,5.3,31.56
130,16389,Odell Beckham Jr.,LAR,WR,14,0,0,0,0,0,5,22,4,0,0,0,0,2.2,31.2
131,16020,Jarvis Landry,CLE,WR,12,0,0,0,26,2,6,42,1,0,0,0,0,2.6,30.8
132,16866,Jamison Crowder,NYJ,WR,12,0,0,0,0,0,9,56,2,0,0,0,0,2.6,30.6
133,20013,Cedrick Wilson Jr.,DAL,WR,16,0,0,0,0,0,6,44,3,0,0,0,0,1.9,30.4
134,21042,A.J. Brown,TEN,WR,13,0,0,0,7,0,5,58,3,0,0,0,0,2.3,29.5
135,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,0,6,53,3,0,0,0,0,1.7,29.3
136,21714,K.J. Osborn,MIN,WR,17,0,0,0,0,0,6,52,3,0,0,0,0,1.7,29.2
137,19172,Zach Pascal,IND,WR,16,0,0,0,12,0,6,35,3,0,0,0,0,1.8,28.7
138,11488,Jimmy Graham,CHI,TE,15,0,0,0,0,0,4,44,3,0,0,0,0,1.9,28.4
138,14856,Zach Ertz,ARI,TE,17,0,0,0,4,0,7,30,3,0,0,0,0,1.7,28.4
140,20876,Jakobi Meyers,NE,WR,17,0,0,0,0,0,8,43,2,0,0,0,0,1.7,28.3
141,18876,David Njoku,CLE,TE,16,0,0,0,0,0,5,51,3,0,0,0,0,1.8,28.1
142,17986,Tyler Boyd,CIN,WR,16,0,0,0,0,0,5,50,3,0,0,0,0,1.8,28
142,20064,Justin Jackson,LAC,RB,14,0,0,0,84,2,5,26,0,0,0,0,0,2,28
142,19897,Tre'Quan Smith,NO,WR,11,0,0,0,0,0,5,50,3,0,0,0,0,2.5,28
145,18900,Mo Alie-Cox,IND,TE,17,0,0,0,0,0,6,38,3,0,0,0,0,1.6,27.8
146,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,4,37,3,0,0,1,0,1.6,27.7
147,15602,Jack Doyle,IND,TE,17,0,0,0,0,0,5,26,3,0,0,0,0,1.6,27.6
148,21679,CeeDee Lamb,DAL,WR,16,0,0,0,1,0,5,43,3,0,0,0,0,1.7,27.4
149,19919,Chase Edmonds,ARI,RB,12,0,0,0,57,2,7,25,0,0,0,0,0,2.3,27.2
150,21593,D'Ernest Johnson,CLE,RB,17,0,0,0,74,3,1,6,0,0,0,0,0,1.6,27
151,18003,Kenyan Drake,LV,RB,12,0,0,0,63,2,5,36,0,0,0,0,0,2.2,26.9
152,12841,Andy Dalton,CHI,QB,8,126,5,2,18,0,0,0,0,0,0,0,0,3.4,26.84
153,17218,DeAndre Carter,WAS,WR,17,0,0,0,11,0,3,44,3,0,0,0,0,1.6,26.5
153,20884,Foster Moreau,LV,TE,17,0,0,0,0,0,4,45,3,0,0,0,0,1.6,26.5
155,21810,Tyler Huntley,BAL,QB,7,96,3,1,26,2,0,0,0,0,0,0,0,3.8,26.44
156,17970,Devontae Booker,NYG,RB,16,0,0,0,54,2,2,10,1,0,0,0,0,1.6,26.4
157,20837,Ty Johnson,NYJ,RB,16,0,0,0,15,2,3,37,1,0,0,0,0,1.6,26.2
157,21739,Van Jefferson,LAR,WR,17,0,0,0,0,0,4,42,3,0,0,0,0,1.5,26.2
159,19861,Ronald Jones,TB,RB,16,0,0,0,40,4,0,0,0,0,0,0,0,1.6,26
159,16830,Tyler Lockett,SEA,WR,16,0,0,0,0,0,4,20,3,0,0,0,0,1.6,26
161,19705,Greg Ward,PHI,WR,17,2,0,0,0,0,3,49,3,0,0,0,0,1.5,25.98
162,20788,Mecole Hardman,KC,WR,17,0,0,0,3,0,9,66,2,0,0,0,0,1.5,25.9
163,18067,Jordan Howard,PHI,RB,7,0,0,0,76,3,0,0,0,0,0,0,0,3.7,25.6
164,18018,Jacoby Brissett,MIA,QB,11,34,4,0,2,1,0,0,0,0,0,0,0,2.3,25.56
165,16656,Logan Thomas,WAS,TE,6,0,0,0,0,0,4,34,3,0,0,0,0,4.2,25.4
166,21142,Olamide Zaccheaus,ATL,WR,17,0,0,0,0,0,5,22,3,0,0,0,0,1.5,25.2
167,16903,MyCole Pruitt,TEN,TE,16,0,0,0,0,0,3,21,3,0,0,0,0,1.6,25.1
167,18464,J.D. McKissic,WAS,RB,11,0,0,0,28,2,3,13,1,0,0,0,0,2.3,25.1
167,22506,Brevin Jordan,HOU,TE,9,0,0,0,0,0,4,31,3,0,0,0,0,2.8,25.1
170,15201,Mike Glennon,NYG,QB,6,58,4,0,7,1,0,0,0,0,0,0,0,4.2,25.02
171,19972,Mike White,NYJ,QB,4,75,5,0,0,0,0,0,0,0,0,0,0,6.2,25
172,20150,Byron Pringle,KC,WR,17,0,0,0,0,0,4,29,3,0,0,0,0,1.5,24.9
172,20684,Malik Turner,DAL,WR,14,0,0,0,0,0,4,29,3,0,0,0,0,1.8,24.9
174,14916,Giovani Bernard,TB,RB,12,0,0,0,0,0,4,27,3,0,0,0,0,2.1,24.7
175,17005,Geoff Swaim,TEN,TE,16,0,0,0,0,0,5,15,3,0,0,0,0,1.5,24.5
175,16568,Brandin Cooks,HOU,WR,16,0,0,0,0,0,7,55,2,0,0,0,0,1.5,24.5
177,21045,Marquise Brown,BAL,WR,16,0,0,0,0,0,8,43,2,0,0,0,0,1.5,24.3
178,19863,Dallas Goedert,PHI,TE,15,0,0,0,0,0,5,52,2,0,0,0,0,1.6,24.2
179,19023,Mack Hollins,MIA,WR,17,0,0,0,0,0,4,21,3,0,0,0,0,1.4,24.1
179,19853,Mike Gesicki,MIA,TE,17,0,0,0,0,0,7,31,2,0,0,0,0,1.4,24.1
181,19799,Rashaad Penny,SEA,RB,10,0,0,0,54,3,0,0,0,0,0,0,0,2.3,23.4
182,18957,D'Onta Foreman,TEN,RB,9,0,0,0,67,2,2,26,0,0,0,0,0,2.6,23.3
182,21783,Harrison Bryant,CLE,TE,16,0,0,0,0,0,4,13,3,0,0,0,0,1.5,23.3
182,19802,Calvin Ridley,ATL,WR,5,0,0,0,0,0,8,33,2,0,0,0,0,4.7,23.3
185,21721,Devin Duvernay,BAL,WR,16,0,0,0,0,0,6,52,2,0,0,0,0,1.4,23.2
186,21752,Chase Claypool,PIT,WR,15,0,0,0,1,0,6,50,2,0,0,0,0,1.5,23.1
186,16964,Darren Waller,LV,TE,11,0,0,0,0,0,7,41,2,0,0,0,0,2.1,23.1
188,19912,Nyheim Hines,IND,RB,17,0,0,0,23,1,5,37,1,0,0,0,0,1.4,23
189,13870,Marvin Jones Jr.,JAX,WR,17,0,0,0,0,0,7,38,2,0,0,0,0,1.3,22.8
190,19766,Saquon Barkley,NYG,RB,13,0,0,0,17,2,1,18,1,0,0,0,0,1.7,22.5
190,14967,Le'Veon Bell,TB,RB,8,0,0,0,14,2,1,1,1,0,0,0,0,2.8,22.5
190,20912,Tony Pollard,DAL,RB,15,0,0,0,68,1,6,37,0,0,0,0,0,1.5,22.5
193,19815,Christian Kirk,ARI,WR,17,0,0,0,0,0,6,42,2,0,0,0,0,1.3,22.2
194,22493,Trey Lance,SF,QB,6,27,3,0,9,1,0,0,0,0,0,0,0,3.7,21.98
195,18995,Jamaal Williams,DET,RB,13,0,0,0,37,3,0,0,0,0,0,0,0,1.7,21.7
196,18935,Gerald Everett,SEA,TE,15,0,0,0,0,0,4,16,3,0,0,0,0,1.4,21.6
197,19800,Courtland Sutton,DEN,WR,17,0,0,0,0,0,8,54,1,0,0,0,0,1.3,21.4
198,19043,Isaiah McKenzie,BUF,WR,15,0,0,0,19,1,5,24,1,0,0,0,0,1.4,21.3
199,16781,Nelson Agholor,NE,WR,15,0,0,0,0,0,5,42,2,0,0,0,0,1.4,21.2
199,19296,Anthony Firkser,TEN,TE,15,0,0,0,0,0,5,42,2,0,0,0,0,1.4,21.2
201,22613,Joshua Palmer,LAC,WR,17,0,0,0,0,0,6,30,2,0,0,0,0,1.2,21
202,12845,A.J. Green,ARI,WR,16,0,0,0,0,0,5,36,2,0,0,0,0,1.3,20.6
203,22662,Tommy Tremble,CAR,TE,16,0,0,0,11,1,4,10,1,0,0,0,0,1.3,20.1
204,18375,Peyton Barber,LV,RB,10,0,0,0,32,2,3,16,0,0,0,0,0,2,19.8
204,19207,Tim Patrick,DEN,WR,16,0,0,0,0,0,4,38,2,0,0,0,0,1.2,19.8
204,21786,Adam Trautman,NO,TE,13,0,0,0,0,0,4,38,2,0,0,0,0,1.5,19.8
207,16838,Duke Johnson,MIA,RB,5,0,0,0,16,3,0,0,0,0,0,0,0,3.9,19.6
208,6489,Josh Johnson,BAL,QB,4,79,4,1,4,0,0,0,0,0,0,0,0,4.9,19.56
209,11063,Emmanuel Sanders,BUF,WR,14,0,0,0,0,0,4,33,2,0,0,0,0,1.4,19.3
210,14895,Geno Smith,SEA,QB,4,29,3,0,1,1,0,0,0,0,0,0,0,4.8,19.26
211,19319,Matt Breida,BUF,RB,9,0,0,0,18,1,3,24,1,0,0,0,0,2.1,19.2
212,14901,Kyle Juszczyk,SF,FB,17,0,0,0,12,1,3,28,1,0,0,0,0,1.1,19
213,13337,Mark Ingram II,NO,RB,14,0,0,0,54,2,1,5,0,0,0,0,0,1.4,18.9
214,21729,Quintez Cephus,DET,WR,5,0,0,0,0,0,3,16,2,0,0,0,0,3.7,18.6
214,18879,Corey Davis,NYJ,WR,9,0,0,0,0,0,4,26,2,0,0,0,0,2.1,18.6
216,18422,Kalif Raymond,DET,WR,16,0,0,0,0,0,4,25,2,0,0,0,0,1.2,18.5
217,18877,Christian McCaffrey,CAR,RB,7,0,0,0,54,1,3,39,0,0,0,0,0,2.6,18.3
217,19410,Ricky Seals-Jones,WAS,TE,13,0,0,0,0,0,7,53,1,0,0,0,0,1.4,18.3
219,21804,DeeJay Dallas,SEA,RB,17,0,0,0,35,2,2,5,0,0,0,0,0,1.1,18
220,14917,Rex Burkhead,HOU,RB,16,0,0,0,29,2,2,10,0,0,0,0,0,1.1,17.9
220,22563,Khalil Herbert,CHI,RB,17,0,0,0,43,2,2,-4,0,0,0,0,0,1.1,17.9
220,19976,Marquez Valdes-Scantling,GB,WR,11,0,0,0,0,0,3,29,2,0,0,0,0,1.6,17.9
223,18617,Elijhaa Penny,NYG,RB,17,0,0,0,14,1,2,4,1,0,0,0,0,1,17.8
224,9906,Danny Amendola,HOU,WR,8,0,0,0,0,0,2,15,2,0,0,0,0,2.2,17.5
224,19457,Blake Jarwin,DAL,TE,8,0,0,0,0,0,3,25,2,0,0,0,0,2.2,17.5
226,18912,Evan Engram,NYG,TE,15,0,0,0,-3,0,3,27,2,0,0,0,0,1.2,17.4
227,16775,DeVante Parker,MIA,WR,10,0,0,0,0,0,3,23,2,0,0,0,0,1.7,17.3
228,20905,Donald Parham Jr.,LAC,TE,14,0,0,0,0,0,2,12,2,0,0,0,0,1.2,17.2
229,18088,Alex Collins,SEA,RB,11,0,0,0,48,2,0,0,0,0,0,0,0,1.5,16.8
230,22417,Kristian Wilkerson,NE,WR,3,0,0,0,0,0,2,26,2,0,0,0,0,5.5,16.6
231,14005,T.Y. Hilton,IND,WR,10,0,0,0,0,0,3,15,2,0,0,0,0,1.6,16.5
232,14985,Ryan Griffin,NYJ,TE,14,0,0,0,0,0,3,14,2,0,0,0,0,1.2,16.4
232,21736,Bryan Edwards,LV,WR,16,0,0,0,0,0,3,14,2,0,0,0,0,1,16.4
234,20812,Jesper Horsted,CHI,TE,7,0,0,0,0,0,2,21,2,0,0,0,0,2.3,16.1
235,20979,Antoine Wesley,ARI,WR,15,0,0,0,0,0,2,20,2,0,0,0,0,1.1,16
235,20360,Jeff Wilson Jr.,SF,RB,9,0,0,0,19,2,2,1,0,0,0,0,0,1.8,16
235,16263,Allen Robinson II,CHI,WR,12,0,0,0,0,0,5,30,1,0,0,0,0,1.3,16
235,19318,Kendrick Bourne,NE,WR,17,0,0,0,25,0,5,25,1,0,0,0,0,0.9,16
239,20283,Tim Boyle,DET,QB,5,63,3,1,14,0,0,0,0,0,0,0,0,3.2,15.92
240,16031,Damien Williams,CHI,RB,12,0,0,0,23,2,1,6,0,0,0,0,0,1.3,15.9
241,21794,Albert Okwuegbunam,DEN,TE,14,0,0,0,0,0,4,13,2,0,0,0,0,1.1,15.3
241,19491,Robert Tonyan,GB,TE,8,0,0,0,0,0,5,43,1,0,0,0,0,1.9,15.3
243,19098,Isaiah Ford,MIA,WR,13,0,0,0,0,0,2,12,2,0,0,0,0,1.2,15.2
244,18993,Samaje Perine,CIN,RB,16,0,0,0,10,0,5,31,1,0,0,0,0,0.9,15.1
245,14141,Cole Beasley,BUF,WR,16,0,0,0,0,0,9,40,0,0,0,0,0,0.9,15
246,19865,James Washington,PIT,WR,15,0,0,0,0,0,5,38,1,0,0,0,0,1,14.8
247,19065,Jeremy McNichols,TEN,RB,14,0,0,0,19,0,4,27,1,0,0,0,0,1,14.6
248,4807,Adrian Peterson,SEA,RB,4,0,0,0,15,2,1,-1,0,0,0,0,0,3.6,14.4
248,21383,Jody Fortson,KC,TE,6,0,0,0,0,0,2,4,2,0,0,0,0,2.4,14.4
250,22556,Jaret Patterson,WAS,RB,17,0,0,0,22,2,0,0,0,0,0,0,0,0.8,14.2
250,18990,Jonnu Smith,NE,TE,16,0,0,0,7,0,5,25,1,0,0,0,0,0.9,14.2
252,22508,Kyle Pitts,ATL,TE,17,0,0,0,0,0,5,31,1,0,0,0,0,0.8,14.1
