Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
1,2593,Aaron Rodgers,GB,QB,16,1328,13,4,76,2,1,-6,0,0,0,0,0,7.3,117.12
2,19781,Lamar Jackson,BAL,QB,15,676,8,4,375,4,0,0,0,0,0,0,0,7.5,112.54
3,21681,Justin Herbert,LAC,QB,15,1167,15,6,50,1,0,0,0,0,0,0,0,7,105.68
4,15076,Keenan Allen,LAC,WR,14,0,0,0,0,0,33,354,6,0,0,0,0,7.3,102.4
5,18890,Patrick Mahomes,KC,QB,15,1139,11,1,159,0,0,0,0,0,0,0,0,6.8,101.46
6,4314,Tom Brady,TB,QB,16,1085,13,1,6,1,0,0,0,0,0,0,0,6.2,100
7,16470,Davante Adams,GB,WR,14,0,0,0,0,0,29,405,4,0,0,0,0,6.7,93.5
8,14986,DeAndre Hopkins,ARI,WR,16,0,0,0,0,0,28,353,4,0,0,0,0,5.5,87.3
9,16311,Derek Carr,LV,QB,16,1248,9,3,41,0,0,0,0,0,0,0,0,5.1,82.02
10,18883,JuJu Smith-Schuster,PIT,WR,16,0,0,0,0,0,32,268,4,0,0,0,0,5,80.8
11,18082,Tyreek Hill,KC,WR,15,0,0,0,-1,0,19,291,5,0,0,1,0,5.2,78
11,19802,Calvin Ridley,ATL,WR,15,0,0,0,0,0,22,320,4,0,0,0,0,5.2,78
13,15048,Travis Kelce,KC,TE,15,0,0,0,0,0,25,394,2,0,0,0,0,5.1,76.4
14,18857,Deshaun Watson,HOU,QB,16,1062,5,3,144,1,0,0,0,0,0,0,0,4.7,74.88
15,19801,Josh Allen,BUF,QB,16,829,7,2,107,2,0,0,0,0,0,0,0,4.6,73.86
16,21679,CeeDee Lamb,DAL,WR,16,0,0,0,1,0,25,365,2,0,0,0,0,4.6,73.6
17,16497,Teddy Bridgewater,CAR,QB,15,932,3,3,119,3,0,0,0,0,0,0,0,4.9,73.18
18,21752,Chase Claypool,PIT,WR,16,0,0,0,7,0,22,375,2,0,0,0,0,4.5,72.2
19,732,Matt Ryan,ATL,QB,16,1013,8,2,47,0,0,0,0,0,0,0,0,4.5,71.22
20,16866,Jamison Crowder,NYJ,WR,12,0,0,0,0,0,19,282,4,0,0,0,0,5.9,71.2
21,18928,Curtis Samuel,CAR,WR,15,0,0,0,18,0,28,348,1,0,0,0,0,4.7,70.6
22,18882,Cooper Kupp,LAR,WR,15,0,0,0,4,0,26,368,1,0,0,0,0,4.6,69.2
22,16964,Darren Waller,LV,TE,16,0,0,0,0,0,28,352,1,0,0,0,0,4.3,69.2
24,17922,Jared Goff,LAR,QB,15,1151,6,4,30,1,0,0,0,0,0,0,0,4.6,69.04
25,20006,Russell Gage,ATL,WR,16,39,1,0,0,0,27,303,1,0,0,0,0,4.3,68.86
26,20889,Kyler Murray,ARI,QB,16,815,7,6,166,1,0,0,0,0,0,0,0,4.2,67.2
27,13320,Cam Newton,NE,QB,15,534,2,3,119,5,0,0,0,0,0,0,0,4.4,65.26
28,21692,Jerry Jeudy,DEN,WR,16,0,0,0,0,0,18,342,2,0,0,0,0,4,64.2
29,17986,Tyler Boyd,CIN,WR,15,0,0,0,0,0,19,264,3,0,0,0,0,4.2,63.4
30,3807,Ben Roethlisberger,PIT,QB,15,1052,7,4,8,0,0,0,0,0,0,0,0,4.2,62.88
31,13870,Marvin Jones Jr.,DET,WR,16,0,0,0,0,0,19,251,3,0,0,0,0,3.9,62.1
32,16906,Stefon Diggs,BUF,WR,16,0,0,0,0,0,28,278,1,0,0,0,0,3.9,61.8
33,18914,Mike Williams,LAC,WR,15,0,0,0,0,0,17,324,2,0,0,0,0,4.1,61.4
34,13799,Ryan Tannehill,TEN,QB,16,735,6,2,69,1,1,0,0,0,0,0,0,3.8,61.3
35,19790,Baker Mayfield,CLE,QB,16,750,6,4,90,1,1,6,0,0,0,0,0,3.8,60.6
36,14252,Kirk Cousins,MIN,QB,16,873,8,3,35,0,0,0,0,0,0,0,0,3.8,60.42
37,9038,Matthew Stafford,DET,QB,16,1113,5,4,53,0,0,0,0,0,0,0,0,3.7,59.82
38,21685,Justin Jefferson,MIN,WR,16,0,0,0,0,0,20,333,1,0,0,0,0,3.7,59.3
39,19803,Mark Andrews,BAL,TE,14,0,0,0,0,0,16,250,3,0,0,0,0,4.2,59
