PlayerID,PlayerName,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,TargetShareL3,TargetsPerGameLast3,ReceptionsLast3,TotalTargetsLast3,TargetShare,TargetsPerGame,TotalReceptions,TotalTargets
19920,Dalton Schultz,6,2,7,8,8,6,null,7,5,2,8,7,5,3,8,9,10,3,20.754716981132077,7.333333333333333,17,22,16.352201257861637,6.117647058823529,78,104
21687,DeVonta Smith,8,7,6,10,9,4,9,3,6,6,6,4,4,null,5,7,6,4,19.767441860465116,5.666666666666667,11,17,22.317596566523605,6.117647058823529,64,104
19815,Christian Kirk,5,4,8,1,5,8,5,6,6,8,5,null,3,6,12,9,9,3,18.26086956521739,7,15,21,18.038528896672503,6.0588235294117645,77,103
16765,Amari Cooper,16,5,4,3,6,8,null,13,5,4,null,null,2,7,5,11,7,7,23.58490566037736,8.333333333333334,15,25,16.19496855345912,6.866666666666666,68,103
21697,Laviska Shenault Jr.,9,7,4,7,3,10,null,4,4,8,5,9,5,7,7,null,3,7,10.75268817204301,5,7,10,16.9811320754717,6.1875,63,99
19800,Courtland Sutton,3,12,5,8,11,14,5,4,2,3,null,3,6,2,7,5,5,3,18.055555555555557,4.333333333333333,8,13,18.992248062015506,5.764705882352941,58,98
15534,Adam Thielen,10,7,9,8,3,13,null,9,7,7,10,7,2,null,null,3,null,null,3.260869565217391,3,3,3,16.464471403812826,7.3076923076923075,67,95
20006,Russell Gage,2,7,null,null,null,null,6,0,8,3,8,7,12,6,12,5,5,13,31.08108108108108,7.666666666666667,16,23,16.936936936936938,6.714285714285714,66,94
17986,Tyler Boyd,4,9,6,11,5,3,7,8,2,null,8,2,7,5,6,5,6,null,9.734513274336283,5.5,7,11,17.40740740740741,5.875,67,94
19562,Austin Ekeler,0,9,6,5,5,7,null,10,3,6,7,8,5,4,4,null,3,12,11.71875,7.5,8,15,14.285714285714286,5.875,70,94
21768,Najee Harris,3,5,19,7,5,7,null,3,3,4,6,5,5,3,5,7,3,4,10.606060606060606,4.666666666666667,12,14,14.39509954058193,5.529411764705882,74,94
19063,George Kittle,5,4,9,10,null,null,null,null,8,7,4,2,12,15,6,3,2,7,13.333333333333334,4,8,12,18.951612903225808,6.714285714285714,71,94
21772,Cole Kmet,7,1,4,3,4,5,6,6,8,null,2,11,7,5,9,5,5,5,13.157894736842104,5,11,15,17.748091603053435,5.470588235294118,60,93
16964,Darren Waller,19,7,7,7,8,5,null,null,11,7,8,5,null,null,null,null,null,9,10,9,2,9,15.422885572139304,8.454545454545455,55,93
12845,A.J. Green,6,6,6,6,2,6,3,8,null,5,7,null,1,10,8,3,6,9,15.652173913043478,6,8,18,16.112084063047284,5.75,54,92
20753,Noah Fant,8,6,3,10,4,11,7,4,null,6,null,4,4,4,6,4,7,2,18.055555555555557,4.333333333333333,10,13,17.441860465116278,5.625,68,90
21739,Van Jefferson,3,3,6,6,4,4,7,6,7,7,null,9,8,3,2,6,5,3,13.461538461538462,4.666666666666667,7,14,14.784053156146179,5.235294117647059,50,89
10974,Rob Gronkowski,8,5,8,null,null,null,null,1,null,null,8,9,8,9,11,2,10,10,18.96551724137931,7.333333333333333,15,22,12.412831241283124,7.416666666666667,55,89
16020,Jarvis Landry,5,1,null,null,null,null,8,10,5,5,8,10,null,10,null,7,10,8,26.041666666666668,8.333333333333334,14,25,17.43486973947896,7.25,52,87
