Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Targets,Receptions,ReceivingYards,ReceivingTDs,Cushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ContestedCatchConversionRate,YardsPerReception,YardsPerTarget,YardsPerPassRoute,Drops,DropRate
59,11056,A. Brown,34.2,62,42,545,4,4.58,1.69,93.33,14,2,14.28,12.97,8.79,3.02,3,4.83
60,20038,B. Berrios,26.9,65,46,431,2,4.98,1.73,112.19,2,1,50,9.36,6.63,1.79,0,0
61,21957,Q. Watkins,24.2,62,43,647,1,4.72,2.25,84.31,14,2,14.28,15.04,10.43,1.94,2,3.22
62,21163,D. Harty,24.8,59,36,570,3,5.22,2.05,109.09,7,1,14.28,15.83,9.66,3.31,3,5.08
63,16866,J. Crowder,29.2,72,51,447,2,4.63,1.44,87.93,3,1,33.33,8.76,6.2,1.26,5,6.94
64,21754,D. Peoples-Jones,23.5,58,34,597,3,4.29,1.5,75.55,22,14,63.63,17.55,10.29,1.58,4,6.89
65,21736,B. Edwards,23.8,58,34,571,3,4.14,1.58,80.95,21,7,33.33,16.79,9.84,1.22,2,3.44
66,22626,R. Moore,22.2,65,54,435,1,4.85,1.56,98.18,6,3,50,8.05,6.69,1.75,2,3.07
67,21734,N. Westbrook-Ikhine,25.5,56,38,476,4,4.12,1.57,111.76,11,6,54.54,12.52,8.5,1.54,1,1.78
68,18926,Z. Jones,27.4,70,47,546,1,4.78,1.91,90.38,19,5,26.31,11.61,7.8,1.51,1,1.42
69,18879,C. Davis,27.6,59,34,492,4,5.54,1.67,72.34,13,5,38.46,14.47,8.33,1.86,8,13.55
70,16775,D. Parker,29.6,73,40,515,2,3.68,1.2,90.9,25,13,52,12.87,7.05,1.68,9,12.32
71,22623,R. Bateman,22.8,67,46,515,1,5.87,1.62,86.79,11,7,63.63,11.19,7.68,1.55,2,2.98
72,16781,N. Agholor,29.3,63,37,473,3,4.39,1.57,92.5,20,5,25,12.78,7.5,1.22,1,1.58
73,19172,Z. Pascal,27.7,69,38,384,3,3.99,1.52,76,29,4,13.79,10.1,5.56,0.87,4,5.79
74,22613,J. Palmer,23,49,33,353,4,4.34,1.24,86.84,8,8,100,10.69,7.2,1.3,1,2.04
75,19867,M. Gallup,26.5,62,35,445,2,4.33,1.09,77.77,17,8,47.05,12.71,7.17,1.47,2,3.22
76,18977,K. Golladay,28.8,74,37,521,0,5.4,1.2,75.51,29,10,34.48,14.08,7.04,1.36,4,5.4
77,19897,T. Smith,26.7,50,32,377,3,4.68,1.66,84.21,11,4,36.36,11.78,7.54,1.32,2,4
78,16263,A. Robinson II,29,66,38,410,1,5.58,1.1,80.85,27,8,29.62,10.78,6.21,1.41,1,1.51
79,21692,J. Jeudy,23.4,56,38,467,0,4.64,2.44,84.44,15,1,6.66,12.28,8.33,2.01,4,7.14
80,21756,N. Collins,23.5,61,33,446,1,4.65,1.4,89.18,19,7,36.84,13.51,7.31,1.3,2,3.27
81,21721,D. Duvernay,25,47,33,272,2,5.54,1.53,89.18,7,4,57.14,8.24,5.78,0.84,1,2.12
82,17914,L. Treadwell,27.2,51,33,434,1,4.6,1.64,97.05,15,7,46.66,13.15,8.5,1.65,5,9.8
83,22614,K. Toney,23.6,57,39,420,0,4.72,1.78,86.66,10,4,40,10.76,7.36,2.13,2,3.5
84,17290,A. Humphries,29.2,62,41,383,0,4.09,1.61,91.11,11,4,36.36,9.34,6.17,0.98,3,4.83
85,21686,J. Reagor,23.7,57,33,299,2,4.75,1.49,78.57,13,2,15.38,9.06,5.24,0.81,4,7.01
86,17961,S. Shepard,29.6,53,36,366,1,5.54,1.24,97.29,14,6,42.85,10.16,6.9,1.79,4,7.54
87,21675,T. Johnson,24,55,36,360,0,4.34,1.76,87.8,16,4,25,10,6.54,1.01,3,5.45
88,19961,R. McCloud III,25.9,66,39,277,0,4.34,1.34,92.85,5,1,20,7.1,4.19,0.86,1,1.51
